SW Version,2022.1
Date and Time Started,2023-Oct-18 18:32:10
Date and Time Ended,2023-Oct-18 18:32:21
Scan Name,0J1CMD-3J1CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,17920
Horizontal Opening,161
Horizontal Percentage,63.64
Vertical Opening,121
Vertical Percentage,51.61
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.24797,0.247939,0.24797,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247969,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.24797,0.247939,0.247939
112,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.24797,0.247969,0.247939,0.247969,0.247969,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.24797,0.247939
104,0.246279,0.245744,0.247883,0.24791,0.247823,0.247883,0.247883,0.247536,0.247076,0.24679,0.246673,0.245446,0.241131,0.240855,0.240317,0.235997,0.246868,0.247632,0.243397,0.238803,0.244401,0.247538,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.24797
96,0.198348,0.202391,0.218221,0.218754,0.211184,0.211969,0.206038,0.198989,0.197443,0.194868,0.18628,0.171301,0.156062,0.140324,0.135779,0.131681,0.188331,0.192424,0.146117,0.120239,0.146889,0.175619,0.220239,0.242752,0.246681,0.246626,0.246096,0.245792,0.24609,0.243524,0.245709,0.247352,0.247939
88,0.15137,0.150733,0.156429,0.154976,0.156118,0.154295,0.151419,0.150042,0.138169,0.125069,0.106204,0.082303,0.0625991,0.0514547,0.0425614,0.0402756,0.0890044,0.100933,0.0546957,0.0244347,0.0305298,0.0421843,0.0634226,0.0981233,0.144929,0.170246,0.187774,0.189415,0.18994,0.187199,0.18926,0.21175,0.238881
80,0.129354,0.12926,0.127149,0.126736,0.126733,0.126077,0.12352,0.111898,0.100905,0.0770805,0.0534306,0.0371288,0.0234557,0.0152232,0.00986509,0.00627921,0.0137864,0.0153178,0.00405318,0.000295882,0.00112428,0.00173738,0.00290994,0.0101554,0.0347568,0.0772771,0.11102,0.130159,0.129063,0.134423,0.135514,0.145743,0.169661
72,0.125929,0.125967,0.125922,0.125955,0.125766,0.121874,0.109167,0.0873559,0.0625526,0.0388256,0.024361,0.0126394,0.00595591,0.00163975,0.000235919,5.01879e-05,0.000318055,0.000296001,8.5832e-06,2.38422e-07,5.96056e-07,4.64923e-06,5.48371e-06,0.000426776,0.00607738,0.0304313,0.0705738,0.10955,0.12381,0.125913,0.125975,0.12613,0.129218
64,0.12592,0.12592,0.12592,0.125029,0.119597,0.108221,0.0869701,0.0564615,0.0334004,0.0184178,0.00817486,0.00190809,0.000263218,5.00687e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.19898e-06,0.000598678,0.00814466,0.0349358,0.0746365,0.110202,0.124469,0.125951,0.125967,0.125975
56,0.12592,0.12592,0.124755,0.120981,0.107902,0.0855746,0.0649655,0.0316652,0.0157523,0.00607059,0.000943437,6.98577e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.3856e-05,0.00151815,0.0121712,0.0464115,0.0871964,0.118933,0.125582,0.125967,0.125967
48,0.125991,0.125304,0.123461,0.111254,0.0872666,0.0570148,0.0319477,0.0147384,0.0047874,0.000656496,1.4663e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,0.000146391,0.00378603,0.0211678,0.0566325,0.0974315,0.121639,0.125689,0.125967
