SW Version,2022.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date and Time Started,2023-Oct-18 18:38:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date and Time Ended,2023-Oct-18 18:38:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Name,0J4CMD-3J4CMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reset RX After Applying Settings,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Area,15744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Opening,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Percentage,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Opening,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Percentage,48.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwell,BER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwell BER,1E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwell Time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Increment,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Range,-0.500 UI to 0.500 UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Increment,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Range,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247969,0.247969,0.247939,0.247939,0.247969,0.24797,0.24797,0.247969,0.247939,0.247939,0.247969,0.247939,0.24797,0.247939,0.247969,0.24797,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.24797,0.247939,0.247969
112,0.247969,0.247939,0.247939,0.247939,0.247969,0.247969,0.24797,0.247969,0.247969,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.24797,0.247939,0.247939,0.247939,0.24797,0.247939,0.24797,0.24797,0.24797,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939
104,0.24791,0.247939,0.247939,0.247939,0.247939,0.247939,0.247941,0.247941,0.247825,0.247912,0.247939,0.24791,0.247767,0.247643,0.247144,0.2477,0.248001,0.24791,0.245991,0.243285,0.247727,0.247939,0.247941,0.24791,0.24797,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939
96,0.229677,0.239444,0.24176,0.24414,0.243219,0.240794,0.237538,0.235305,0.236359,0.235523,0.234277,0.232008,0.224358,0.213114,0.208742,0.211003,0.238975,0.23292,0.201086,0.180356,0.212944,0.236412,0.245756,0.247696,0.247939,0.247939,0.247941,0.247881,0.247881,0.247796,0.247939,0.247939,0.247969
88,0.183686,0.19355,0.209446,0.204075,0.197071,0.193918,0.197931,0.18987,0.190558,0.186305,0.178766,0.16382,0.147399,0.131185,0.121862,0.123206,0.170324,0.159856,0.106085,0.0772469,0.107057,0.144646,0.190576,0.220495,0.236916,0.238916,0.239004,0.237449,0.237168,0.238539,0.240829,0.246578,0.247307
80,0.142215,0.140001,0.138732,0.136194,0.137504,0.136037,0.134218,0.132712,0.125593,0.112623,0.0947368,0.0770996,0.0587173,0.0431601,0.0295958,0.0259213,0.05658,0.0488506,0.0135494,0.00442524,0.0088823,0.0128256,0.0193969,0.04811,0.103835,0.14023,0.156459,0.16143,0.163875,0.162741,0.165793,0.197386,0.214673
72,0.12823,0.127612,0.126411,0.126138,0.126041,0.124144,0.121266,0.112019,0.0989256,0.0740876,0.0556648,0.0354199,0.0206052,0.00878853,0.0032038,0.00117494,0.00425965,0.00254182,0.000120761,3.2187E-06,1.58551E-05,4.32736E-05,0.000180009,0.0028737,0.023207,0.0650302,0.104939,0.124639,0.12945,0.129356,0.132642,0.139665,0.147549
64,0.125951,0.125929,0.125921,0.125797,0.123046,0.117403,0.105544,0.0871181,0.0627212,0.0415411,0.0226687,0.0092467,0.00260429,0.000310187,2.64649E-05,2.38422E-06,1.70472E-05,1.78817E-06,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,5.48371E-05,0.00321345,0.0267219,0.0691133,0.105848,0.123782,0.12592,0.126075,0.126617,0.12749
56,0.12592,0.12592,0.125735,0.123969,0.117241,0.103017,0.0842371,0.0583269,0.0348865,0.0165267,0.0056183,0.00106754,9.19118E-05,2.50343E-06,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,4.76844E-07,0.000254993,0.00611636,0.0365508,0.078772,0.114607,0.124654,0.125951,0.125967,0.126044
