SW Version,2022.1
Date and Time Started,2023-Oct-18 17:47:40
Date and Time Ended,2023-Oct-18 17:47:52
Scan Name,2J3D3-1J3D1
Link Settings,
Reset RX After Applying Settings,false
Open Area,17600
Horizontal Opening,185
Horizontal Percentage,72.73
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251779,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.249412,0.251563,0.251748,0.251624,0.251041,0.250523,0.250615,0.250918,0.251563,0.251593,0.251779,0.251315,0.250485,0.250639,0.250371,0.250584,0.251903,0.251655,0.250066,0.250034,0.251102,0.25181,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
96,0.216714,0.230717,0.237013,0.236264,0.232987,0.231204,0.230482,0.231321,0.23075,0.22702,0.223265,0.220162,0.218187,0.214147,0.216522,0.224457,0.24738,0.243691,0.214628,0.208434,0.223798,0.239126,0.244575,0.25061,0.251717,0.251872,0.251872,0.25181,0.251347,0.251224,0.251071,0.251655,0.251872
88,0.154691,0.171109,0.184367,0.181104,0.180002,0.186012,0.17755,0.176813,0.16957,0.161417,0.151308,0.136074,0.139963,0.123818,0.124737,0.136847,0.193832,0.187758,0.127395,0.101659,0.128004,0.133058,0.156025,0.186959,0.212467,0.233128,0.232609,0.226199,0.221953,0.218094,0.226098,0.24061,0.243512
80,0.130689,0.127722,0.127192,0.127092,0.126103,0.122633,0.113852,0.093699,0.0803533,0.069281,0.0594101,0.0495048,0.0436862,0.0352932,0.0293889,0.030613,0.0702039,0.0629435,0.0269617,0.0144545,0.0175256,0.015001,0.0137639,0.0185906,0.0446088,0.0765703,0.118006,0.133912,0.133807,0.132272,0.139315,0.153447,0.17335
72,0.125928,0.12592,0.12592,0.124815,0.119234,0.110011,0.0872964,0.0667092,0.0543344,0.0325179,0.0204365,0.00980558,0.00445528,0.00158515,0.000804556,0.00104024,0.00810226,0.00534888,0.000377899,3.15909e-05,0.000104906,3.82668e-05,2.93259e-05,0.000416285,0.00658176,0.0301206,0.0697839,0.110731,0.124073,0.125967,0.126372,0.126704,0.131631
64,0.12592,0.12592,0.125519,0.118819,0.103454,0.0775512,0.0573983,0.0328623,0.0152203,0.00461085,0.000722419,0.000112058,1.90738e-06,3.57633e-07,2.38422e-07,2.38422e-07,1.43053e-06,1.43053e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,0.000399357,0.00727438,0.034004,0.0786842,0.114753,0.125521,0.125959,0.125967,0.125967
56,0.125951,0.125673,0.121325,0.105827,0.0810244,0.05373,0.0271932,0.00950681,0.00182012,6.33011e-05,1.19211e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.06235e-05,0.00123431,0.0148104,0.0472402,0.0966235,0.121136,0.125874,0.125967,0.125975
48,0.12589,0.122574,0.110534,0.0774925,0.0544268,0.0238648,0.00569984,0.000579008,6.19898e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,9.85876e-05,0.00350028,0.0243095,0.0613831,0.108946,0.123768,0.125967,0.126467
