SW Version,2022.1
Date and Time Started,2024-Feb-06 18:41:26
Date and Time Ended,2024-Feb-06 18:41:35
Scan Name,Scan_0J4CMD-2J4CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,64
Horizontal Opening,0
Horizontal Percentage,3.03
Vertical Opening,0
Vertical Percentage,0.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247939,0.247939,0.247941,0.247881,0.247736,0.247939,0.247939,0.24797,0.247969,0.247912,0.247854,0.247941,0.247939,0.247941,0.24762,0.247073,0.24797,0.24797,0.247939,0.247909,0.24797,0.24791,0.247939,0.247939,0.247969,0.247909,0.247969,0.247969,0.247969,0.247478,0.24791,0.247969,0.247939
112,0.247881,0.247883,0.247939,0.247796,0.247881,0.247939,0.246873,0.247565,0.247651,0.247303,0.247418,0.244822,0.244681,0.24719,0.247155,0.245245,0.247206,0.247148,0.247785,0.247939,0.24791,0.247939,0.247941,0.247478,0.247694,0.247879,0.245005,0.248,0.245273,0.247723,0.247509,0.2476,0.247939
104,0.246619,0.241729,0.247478,0.245856,0.240799,0.244523,0.245545,0.245102,0.245182,0.244905,0.24594,0.244516,0.244,0.244235,0.240681,0.240533,0.238172,0.242664,0.243199,0.246568,0.24791,0.247141,0.247756,0.247322,0.247139,0.246383,0.246229,0.24553,0.24477,0.245423,0.244887,0.24557,0.241238
96,0.237716,0.242124,0.240665,0.243408,0.240619,0.236581,0.239879,0.234209,0.238249,0.236972,0.229416,0.237701,0.229994,0.231656,0.231428,0.233465,0.223342,0.223723,0.235968,0.239144,0.243576,0.233228,0.24369,0.242421,0.240922,0.242651,0.242082,0.237453,0.240823,0.238711,0.240375,0.237398,0.243661
88,0.232262,0.231954,0.227577,0.226126,0.235908,0.223909,0.224361,0.231517,0.22992,0.229922,0.214355,0.210212,0.220335,0.219161,0.220621,0.219116,0.226878,0.223809,0.222775,0.227815,0.235332,0.234402,0.230909,0.226762,0.231881,0.237143,0.237466,0.238825,0.235732,0.229915,0.232092,0.23368,0.237108
80,0.219415,0.219281,0.226213,0.225406,0.221597,0.222499,0.219353,0.212683,0.197468,0.202557,0.185928,0.199407,0.205995,0.19892,0.200824,0.19434,0.201478,0.208956,0.207345,0.204666,0.213849,0.214336,0.216284,0.205478,0.217345,0.225699,0.230974,0.22617,0.224148,0.220934,0.215439,0.221711,0.2314
72,0.195485,0.211912,0.206593,0.209161,0.182808,0.193619,0.193601,0.187882,0.175713,0.181868,0.171517,0.163851,0.165049,0.156375,0.151625,0.127125,0.147944,0.153788,0.169613,0.164609,0.189459,0.17073,0.201161,0.200059,0.199187,0.209177,0.186987,0.197091,0.199428,0.198976,0.201939,0.202858,0.213646
64,0.169027,0.161085,0.175879,0.162581,0.164486,0.168982,0.161104,0.15011,0.139131,0.147122,0.139572,0.13541,0.125397,0.106522,0.0937449,0.098681,0.0931046,0.102564,0.11471,0.088,0.144976,0.134906,0.141702,0.162503,0.167426,0.168467,0.170713,0.177471,0.173801,0.174691,0.167669,0.180144,0.190311
56,0.153938,0.154236,0.153377,0.145302,0.137809,0.135432,0.135037,0.125825,0.125256,0.115746,0.114814,0.106954,0.0773554,0.0741752,0.0751596,0.062405,0.077058,0.0774003,0.0647396,0.0650161,0.101701,0.110797,0.108817,0.121846,0.119173,0.119602,0.12732,0.140407,0.14723,0.14948,0.152579,0.156927,0.16601
48,0.143726,0.140722,0.140461,0.136692,0.131529,0.126086,0.121099,0.113287,0.108246,0.0987175,0.0811512,0.0662823,0.0586003,0.0423561,0.0454361,0.0357031,0.0392827,0.0429891,0.0431769,0.0390535,0.0577897,0.0678761,0.0695117,0.0867615,0.0972703,0.104379,0.112561,0.12123,0.124647,0.131393,0.132734,0.138405,0.148094
