SW Version,2022.1
Date and Time Started,2024-Feb-06 18:37:58
Date and Time Ended,2024-Feb-06 18:38:09
Scan Name,Scan_3J4D2-0J4D1
Link Settings,
Reset RX After Applying Settings,false
Open Area,2624
Horizontal Opening,73
Horizontal Percentage,30.30
Vertical Opening,25
Vertical Percentage,12.90
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251872,0.251872,0.251872,0.251934
112,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251872,0.251841,0.251903,0.251872,0.251872,0.251872,0.251872,0.251872,0.251841,0.251841,0.251779,0.25181,0.251717,0.251686,0.251563,0.25147,0.25147,0.250493,0.250342,0.250282,0.251041,0.251317
104,0.251255,0.251686,0.251841,0.251717,0.251748,0.251779,0.251717,0.251655,0.251439,0.251347,0.251286,0.251286,0.250763,0.25055,0.250577,0.250854,0.251439,0.251686,0.25043,0.250432,0.250372,0.250645,0.249531,0.249829,0.247969,0.247277,0.245744,0.243755,0.242309,0.240799,0.239696,0.241944,0.245322
96,0.240383,0.24521,0.248174,0.247505,0.246844,0.247102,0.246417,0.245151,0.243265,0.243168,0.242185,0.238321,0.236967,0.236007,0.232289,0.234225,0.244952,0.246511,0.237741,0.236016,0.23778,0.241252,0.239379,0.23533,0.233687,0.231045,0.228319,0.223789,0.222531,0.219746,0.21951,0.222881,0.229625
88,0.208744,0.225124,0.233437,0.234577,0.229994,0.22971,0.225167,0.223035,0.218721,0.215184,0.211265,0.20575,0.200611,0.193743,0.182783,0.180646,0.212479,0.215977,0.190429,0.193506,0.206058,0.210283,0.211709,0.212899,0.213181,0.211601,0.208796,0.206644,0.203807,0.202157,0.201526,0.204416,0.210865
80,0.176458,0.180609,0.185499,0.181614,0.177632,0.174759,0.168663,0.163195,0.16203,0.155505,0.143641,0.133452,0.117394,0.104389,0.0868318,0.0809042,0.113848,0.132248,0.0853198,0.10612,0.137754,0.144002,0.150667,0.158714,0.165987,0.168678,0.170563,0.167911,0.165206,0.16374,0.16587,0.178027,0.189928
72,0.152358,0.150328,0.148486,0.146023,0.142717,0.140539,0.136077,0.13154,0.122543,0.111423,0.0963243,0.0817814,0.067082,0.0534169,0.0400521,0.0341714,0.0427556,0.0434335,0.0249992,0.0428352,0.0798463,0.0848602,0.0955566,0.102324,0.112804,0.122661,0.131879,0.138344,0.138583,0.138925,0.139435,0.147331,0.154917
64,0.135779,0.13259,0.130164,0.128761,0.126833,0.123356,0.119083,0.104923,0.0932117,0.0783571,0.0630565,0.0487161,0.0359969,0.0282383,0.0206052,0.0150738,0.0155974,0.0136032,0.00781059,0.0131455,0.031544,0.037907,0.0432976,0.0529543,0.0643164,0.078619,0.0949851,0.10985,0.118668,0.124031,0.127027,0.130155,0.134336
56,0.129413,0.127238,0.12624,0.124833,0.121382,0.112476,0.10121,0.0864242,0.0691378,0.0552553,0.0411131,0.029698,0.0211537,0.0147632,0.0102573,0.00659643,0.00609467,0.00479443,0.0023096,0.0043195,0.0105763,0.0124396,0.0172392,0.024893,0.0365993,0.05171,0.0674187,0.0862269,0.102636,0.115189,0.122322,0.125691,0.127198
48,0.129613,0.125921,0.123125,0.117226,0.10691,0.0942117,0.080734,0.0631874,0.0476229,0.0335112,0.0235791,0.0163771,0.0111985,0.00659559,0.00361448,0.00205758,0.0014688,0.000967637,0.000391132,0.00103285,0.0027564,0.0028712,0.0037027,0.00792015,0.0154496,0.0274874,0.0423417,0.0597553,0.0803232,0.097923,0.112466,0.120733,0.125129
40,0.12954,0.122263,0.113553,0.101782,0.0859291,0.0723991,0.0546534,0.039987,0.0272294,0.0187902,0.0124292,0.00776005,0.00428159,0.0020155,0.000838889,0.000437982,0.000201467,0.000154736,7.20035e-05,0.000159266,0.00047601,0.000452168,0.000518807,0.001542,0.00417108,0.0101843,0.0209004,0.0358351,0.0533911,0.0735836,0.091508,0.107106,0.119947
32,0.1283,0.108574,0.0965457,0.0810078,0.0657718,0.0497795,0.0342408,0.0228576,0.014405,0.0091381,0.00530644,0.00253932,0.00101306,0.000372416,0.000150206,3.73131e-05,3.2187e-05,1.04906e-05,1.43053e-06,3.37367e-05,8.24941e-05,2.36038e-05,6.55661e-05,0.00015104,0.000710617,0.00237087,0.00736439,0.0170322,0.0311086,0.0474491,0.0667354,0.0878978,0.107056
24,0.127076,0.101864,0.0843912,0.0660121,0.0490767,0.0337173,0.0216487,0.0136001,0.00783173,0.00448889,0.00204221,0.000650654,0.000301843,6.84272e-05,3.77899e-05,9.6561e-06,1.43053e-06,2.38422e-07,2.38422e-07,6.79503e-06,8.46399e-06,1.66896e-06,2.98028e-06,6.67582e-06,0.000132563,0.000567206,0.00192979,0.00659917,0.0164516,0.029333,0.0453958,0.0686786,0.0922009
16,0.129968,0.0987666,0.0691052,0.0493534,0.0334001,0.0201589,0.0120596,0.00652168,0.00317316,0.00118865,0.000406152,0.000150444,5.18568e-05,8.10636e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,4.2916e-06,9.00044e-05,0.000362402,0.00160279,0.00559231,0.0133841,0.0258856,0.0463421,0.0743699
8,0.137649,0.0991929,0.0606867,0.0359689,0.0220093,0.0138443,0.0079521,0.00354033,0.00114633,0.000398046,9.0362e-05,2.61072e-05,4.17239e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.0729e-06,3.93397e-06,3.52865e-05,0.000343209,0.00140621,0.00498255,0.0120452,0.0285,0.0601763
0,0.140666,0.102006,0.0586969,0.033371,0.0203471,0.0123335,0.00759744,0.00437254,0.00236777,0.000904335,0.000274424,8.1898e-05,3.80283e-05,9.53689e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.9193e-05,0.000119092,0.000782621,0.00347846,0.0107745,0.0325642,0.0665318
-8,0.141103,0.103963,0.0619189,0.0360904,0.0220722,0.0131253,0.00814856,0.00510462,0.00303774,0.00142481,0.000445492,0.000150325,5.10224e-05,2.38422e-06,2.38422e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.51673e-05,0.000214818,0.000943198,0.00429422,0.0132889,0.0361,0.0688857
-16,0.138582,0.105879,0.0742784,0.0508007,0.0328537,0.0197999,0.0124605,0.00864359,0.00577447,0.00377148,0.00215486,0.000862373,0.000292902,6.67582e-05,3.63594e-05,6.4374e-06,3.33791e-06,2.38422e-07,2.38422e-07,8.34478e-07,2.50343e-06,2.1458e-06,7.15267e-07,2.38422e-07,4.41081e-06,2.46767e-05,0.000198844,0.00109209,0.00458712,0.0130897,0.03028,0.0564774,0.083636
-24,0.138775,0.110299,0.0892325,0.0704568,0.0525868,0.0358893,0.0232267,0.0143244,0.0100215,0.00666462,0.00453086,0.00289552,0.00141921,0.000511296,0.000155809,9.38191e-05,2.98028e-05,6.07977e-06,2.38422e-07,2.19348e-05,6.44932e-05,3.81476e-05,2.24117e-05,8.70241e-06,5.63869e-05,0.000337248,0.00114824,0.00501748,0.0151258,0.033007,0.054531,0.0805166,0.100805
