SW Version,2022.1
Date and Time Started,2023-Nov-07 18:26:41
Date and Time Ended,2023-Nov-07 18:26:51
Scan Name,Scan_1J6CMD-3J6CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,9920
Horizontal Opening,153
Horizontal Percentage,60.61
Vertical Opening,81
Vertical Percentage,35.48
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247969,0.247969,0.247969,0.247939,0.247969,0.24797,0.247939,0.24797,0.247941,0.24791,0.24797,0.24791
112,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247969,0.247939,0.247969,0.247939,0.247879,0.247939,0.24791,0.247938,0.247909,0.247939,0.247939,0.24791,0.247939,0.247848,0.247661,0.247632,0.24754,0.246713,0.245213,0.244476,0.24554,0.247444
104,0.247912,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.24797,0.247941,0.247912,0.247854,0.247736,0.247587,0.246861,0.24568,0.243953,0.246866,0.246834,0.245629,0.245242,0.246348,0.245362,0.244359,0.243057,0.242261,0.240562,0.238378,0.235918,0.233177,0.229182,0.227563,0.22833,0.234151
96,0.244437,0.246448,0.247678,0.247565,0.247274,0.246733,0.24605,0.244826,0.244003,0.241861,0.240573,0.239296,0.234475,0.226696,0.218982,0.211842,0.226775,0.22827,0.22103,0.218815,0.224553,0.225368,0.22521,0.223395,0.222272,0.220536,0.217647,0.214721,0.211625,0.207722,0.206173,0.207238,0.211466
88,0.232297,0.236199,0.239601,0.237296,0.236192,0.233332,0.22951,0.227016,0.223245,0.218723,0.214587,0.204481,0.192156,0.176507,0.162108,0.152772,0.180429,0.183114,0.170473,0.178737,0.194506,0.198136,0.203311,0.205761,0.206419,0.205216,0.202706,0.19906,0.196203,0.192576,0.19174,0.191971,0.195895
80,0.206157,0.21013,0.212759,0.20797,0.203904,0.199854,0.193948,0.186115,0.181468,0.173205,0.159791,0.142308,0.121771,0.101699,0.0865624,0.076284,0.100748,0.108489,0.0999085,0.124842,0.155455,0.162307,0.168606,0.174946,0.179706,0.182011,0.181103,0.178919,0.176761,0.174884,0.174608,0.179209,0.18317
72,0.16382,0.161157,0.167523,0.163941,0.159657,0.15587,0.149494,0.143258,0.129953,0.111826,0.0923772,0.067217,0.0490102,0.0351482,0.0238107,0.0180167,0.038079,0.0402425,0.0311936,0.0545056,0.0926381,0.100502,0.107601,0.116935,0.128584,0.140662,0.147641,0.148944,0.148639,0.146588,0.147415,0.154632,0.167216
64,0.13973,0.136445,0.133031,0.130257,0.126893,0.122611,0.11427,0.0998828,0.0802531,0.0602184,0.0394933,0.0253264,0.0159645,0.00890707,0.00437719,0.00198773,0.00192192,0.00247435,0.000779521,0.00666533,0.030316,0.037605,0.0481331,0.0636585,0.0773071,0.0937115,0.112077,0.123846,0.127577,0.129558,0.130375,0.133102,0.139244
56,0.12971,0.127775,0.125743,0.123303,0.118702,0.108484,0.0924546,0.0730914,0.0498487,0.0322436,0.0201541,0.0120578,0.00596616,0.00245837,0.000834716,0.000220183,6.69966e-05,3.8386e-05,7.03346e-06,0.000111462,0.00411696,0.00875885,0.0154972,0.0266813,0.0431445,0.061749,0.0806263,0.101201,0.11651,0.122327,0.125098,0.126318,0.128405
48,0.123513,0.121721,0.120697,0.115418,0.101184,0.0843064,0.0613974,0.0398036,0.0248529,0.0145685,0.00793786,0.00327354,0.00113727,0.000249866,2.21733e-05,2.50343e-06,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.40806e-05,0.000453002,0.00244645,0.00693916,0.0157674,0.0327177,0.0523981,0.0733774,0.0946565,0.11133,0.119888,0.123509,0.125605
40,0.118709,0.113599,0.108796,0.0928869,0.072244,0.0489057,0.0317398,0.0191967,0.0104434,0.00480766,0.00170531,0.000472553,4.93534e-05,2.02659e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.62402e-05,0.000708591,0.00391561,0.00984429,0.0220861,0.043951,0.0666071,0.0875619,0.104617,0.117427,0.122809
32,0.109856,0.097709,0.0834544,0.0627904,0.0427445,0.0272178,0.0154253,0.00793761,0.00312738,0.0009792,0.000170591,7.27188e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.90875e-05,0.000942125,0.00554773,0.0164272,0.0365033,0.0583039,0.0792757,0.0994811,0.114803
