SW Version,2022.1
Date and Time Started,2023-Nov-07 16:21:12
Date and Time Ended,2023-Nov-07 16:21:21
Scan Name,Scan_3J2D0-1J2D3
Link Settings,
Reset RX After Applying Settings,false
Open Area,4608
Horizontal Opening,105
Horizontal Percentage,42.42
Vertical Opening,41
Vertical Percentage,19.35
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
96,0.248584,0.251872,0.251903,0.251903,0.251903,0.251872,0.251841,0.251841,0.25181,0.25181,0.250554,0.251501,0.251255,0.251409,0.251225,0.251748,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251934,0.251872,0.251872,0.251934,0.251655,0.251347,0.251779,0.251872,0.251872
88,0.245573,0.248291,0.251194,0.25098,0.24879,0.246987,0.24968,0.24873,0.24719,0.243458,0.240179,0.240235,0.239118,0.243005,0.2387,0.242845,0.248849,0.25098,0.250767,0.251655,0.251841,0.251903,0.251686,0.251841,0.250675,0.250311,0.251072,0.250072,0.244273,0.244003,0.241151,0.243512,0.248702
80,0.202073,0.220345,0.22838,0.235398,0.229689,0.225561,0.225124,0.220276,0.218959,0.217069,0.211071,0.204274,0.214978,0.208177,0.207454,0.220148,0.23613,0.23593,0.22997,0.235839,0.247161,0.247141,0.245591,0.238471,0.236298,0.233646,0.23136,0.224031,0.220554,0.222872,0.216009,0.223128,0.232592
72,0.16905,0.171535,0.181663,0.177023,0.168886,0.160769,0.171646,0.157277,0.155371,0.149014,0.145781,0.142239,0.136266,0.132396,0.125527,0.121432,0.163169,0.144898,0.12541,0.1429,0.169629,0.195485,0.19564,0.191932,0.192506,0.188903,0.180541,0.175537,0.177159,0.171871,0.170205,0.185205,0.198401
64,0.144169,0.144371,0.138918,0.135934,0.133868,0.132074,0.129559,0.129006,0.127385,0.124515,0.119561,0.110638,0.102283,0.0879846,0.0743134,0.0652663,0.0802172,0.0898581,0.0555024,0.0642276,0.0980684,0.101894,0.104694,0.124249,0.138339,0.147466,0.145914,0.141925,0.144563,0.142319,0.144733,0.146892,0.149729
56,0.132473,0.130886,0.127894,0.126812,0.126396,0.126147,0.125619,0.124143,0.11628,0.1131,0.101857,0.0885051,0.0691153,0.0578989,0.0428339,0.0341603,0.0372119,0.0353696,0.0267448,0.0266402,0.0552548,0.0661847,0.0703749,0.0775345,0.0961177,0.112069,0.122689,0.132729,0.129562,0.130742,0.129255,0.135542,0.135225
48,0.126963,0.126605,0.126073,0.125741,0.125254,0.12397,0.120526,0.114004,0.0990506,0.0864707,0.0766457,0.0570148,0.0377827,0.0286976,0.0224205,0.0200194,0.0200956,0.0166227,0.0109322,0.0104037,0.0208826,0.0305478,0.040584,0.053784,0.0634634,0.077493,0.09399,0.113992,0.120262,0.125208,0.126785,0.126216,0.1266
40,0.12606,0.125925,0.125029,0.12555,0.122633,0.11827,0.103768,0.0887182,0.0728608,0.0520795,0.039816,0.0268608,0.0209955,0.0165877,0.0129198,0.00852863,0.0082117,0.00576278,0.00318282,0.00380391,0.00731634,0.0075041,0.0100001,0.0179346,0.0331115,0.0484116,0.0616729,0.082621,0.104819,0.115517,0.12346,0.125812,0.125967
32,0.12719,0.123832,0.125059,0.12081,0.114004,0.0940472,0.0800239,0.0603908,0.0438576,0.0265296,0.0198509,0.0160626,0.0116647,0.00726925,0.00348418,0.00200322,0.00116696,0.000890626,0.000345593,0.000643263,0.00160232,0.00112321,0.000711333,0.00167325,0.00794721,0.0211157,0.0409898,0.0559457,0.083904,0.104279,0.1166,0.123049,0.125936
24,0.131199,0.12229,0.119865,0.109097,0.0932932,0.0693288,0.0549349,0.0345475,0.0250818,0.0178838,0.013601,0.00800976,0.00425655,0.00166502,0.000601658,0.00019336,0.000113727,2.46767e-05,3.57633e-07,2.27693e-05,0.000279669,0.000104548,3.70747e-05,9.23886e-05,0.000833166,0.00500663,0.0180649,0.0371848,0.0533231,0.076069,0.0998687,0.113153,0.124285
16,0.133788,0.121399,0.105806,0.0848195,0.0589924,0.0441983,0.030514,0.019168,0.0135956,0.0086278,0.00430126,0.00131418,0.000419742,9.21502e-05,5.24529e-06,1.31132e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.43053e-06,3.57633e-07,2.38422e-07,8.34478e-07,1.62127e-05,0.000521906,0.0031002,0.0128667,0.0325155,0.0508778,0.0686902,0.0942274,0.113734
8,0.136162,0.109801,0.0805851,0.054597,0.0370473,0.0233977,0.0158297,0.00984707,0.00450701,0.00164428,0.000280981,6.41356e-05,7.62951e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.58551e-05,0.000169637,0.00139537,0.00937774,0.0265508,0.0435764,0.0644516,0.0892939
0,0.139687,0.0987636,0.0628516,0.0396162,0.0233469,0.0126061,0.00584218,0.00207511,0.000336175,5.32874e-05,4.41081e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-06,4.27968e-05,0.000688563,0.00643645,0.0229774,0.0458726,0.0765617
-8,0.144604,0.101907,0.0577302,0.0319938,0.0201869,0.0115219,0.00368875,0.000980988,5.84134e-05,7.03346e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.43053e-06,3.48096e-05,0.00067402,0.00422401,0.0149006,0.0407434,0.0847997
-16,0.14244,0.110637,0.0728124,0.0458282,0.0269893,0.0164442,0.0128949,0.00740527,0.00289349,0.000645886,5.82942e-05,2.50343e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.03346e-06,0.00011945,0.00114133,0.00540336,0.0158649,0.0353447,0.0637886,0.0940956
-24,0.136031,0.115257,0.102444,0.0731292,0.0529588,0.031376,0.0195545,0.0147265,0.0110957,0.00597426,0.00206569,0.000491031,2.74186e-05,1.0729e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.51673e-05,0.000230912,0.00231377,0.00882455,0.0224091,0.0430919,0.0666988,0.0869597,0.114628
-32,0.133247,0.119602,0.11434,0.103817,0.0810372,0.0550294,0.0352346,0.0211989,0.0161906,0.0131123,0.00840197,0.00340383,0.00140097,0.000147345,1.71664e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,3.81476e-06,4.98302e-05,0.000372416,0.00262551,0.00949511,0.0227392,0.0438584,0.0721526,0.0889767,0.112364,0.124195
-40,0.127894,0.124427,0.122254,0.120384,0.102789,0.0933953,0.0672436,0.0458078,0.0268144,0.0208306,0.0157218,0.011721,0.00796317,0.00386101,0.0010481,0.000270728,0.000154617,1.56167e-05,8.34478e-07,3.2187e-06,5.62676e-05,3.34983e-05,0.00018895,0.00102355,0.00468619,0.0126447,0.0295703,0.0520034,0.0750784,0.0978501,0.116054,0.124366,0.125843
-48,0.126221,0.125938,0.125584,0.124998,0.122165,0.116867,0.105046,0.0892285,0.0572571,0.0397943,0.0277053,0.0192349,0.0160541,0.0126042,0.0081552,0.00588366,0.00488932,0.0013751,0.000415928,0.000581631,0.00339954,0.00347572,0.0051684,0.00942576,0.0221633,0.0421056,0.0628436,0.0850151,0.103681,0.119101,0.125619,0.125959,0.126099
-56,0.127683,0.127037,0.126265,0.126002,0.125235,0.123842,0.12061,0.115101,0.1004,0.0746632,0.0573544,0.0407289,0.0276446,0.0216059,0.0176985,0.0154556,0.0144336,0.0101256,0.00512739,0.00576088,0.0167511,0.0208884,0.0287419,0.0374365,0.0544907,0.0740583,0.0908073,0.107868,0.121871,0.12566,0.126184,0.127395,0.129278
-64,0.132597,0.132076,0.129932,0.130545,0.128364,0.128018,0.12615,0.124361,0.120318,0.107074,0.0969652,0.0745125,0.0585898,0.0408915,0.0320562,0.0271773,0.031542,0.0216797,0.0152999,0.0192964,0.0461102,0.0577541,0.0709182,0.0891838,0.0988938,0.11578,0.120935,0.131372,0.13311,0.131816,0.133899,0.134758,0.140175
-72,0.146078,0.143817,0.149886,0.147729,0.147167,0.148062,0.144691,0.143927,0.142019,0.138996,0.136173,0.125905,0.112659,0.0942701,0.0767733,0.0670609,0.0945586,0.0808277,0.0491281,0.0589796,0.0977816,0.115242,0.123135,0.137544,0.145973,0.155182,0.155373,0.154085,0.153769,0.153596,0.148477,0.163941,0.16731
-80,0.169238,0.16619,0.168035,0.163573,0.163165,0.160714,0.15888,0.158627,0.158307,0.157911,0.157601,0.156025,0.154731,0.146607,0.14229,0.142808,0.157945,0.14998,0.140479,0.155043,0.178887,0.182797,0.194328,0.196302,0.193594,0.187024,0.180989,0.181481,0.178096,0.179716,0.176162,0.190646,0.196435
-88,0.197368,0.2023,0.227365,0.211741,0.210704,0.208076,0.197349,0.195922,0.200251,0.189098,0.184101,0.180673,0.181529,0.174966,0.17585,0.186812,0.225221,0.227695,0.21942,0.225487,0.236798,0.234018,0.237196,0.235332,0.230713,0.227622,0.223766,0.217842,0.213848,0.214218,0.215468,0.22275,0.228453
-96,0.234218,0.241599,0.246335,0.24538,0.246081,0.244109,0.244003,0.242155,0.242441,0.233572,0.237061,0.234809,0.226401,0.230345,0.224449,0.239243,0.24625,0.245632,0.245402,0.246384,0.247443,0.246861,0.246151,0.245223,0.245049,0.244016,0.243359,0.241314,0.238248,0.236657,0.239459,0.244652,0.24004
-104,0.247736,0.24791,0.24797,0.247939,0.247939,0.247939,0.24797,0.24791,0.247794,0.24791,0.247941,0.247941,0.247709,0.247881,0.247825,0.247765,0.24791,0.24797,0.248,0.247794,0.247939,0.247939,0.247939,0.247847,0.247883,0.247847,0.247509,0.246668,0.247522,0.2462,0.247263,0.247756,0.247723
-112,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.248,0.247969,0.247879,0.247969,0.24797,0.247939
-120,0.247969,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247969,0.247939,0.247969,0.247939,0.247969,0.247939,0.248,0.247939,0.247939,0.247969,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.248,0.247969,0.247939
Scan End
