SW Version,2022.1
Date and Time Started,2024-Feb-01 16:49:01
Date and Time Ended,2024-Feb-01 16:49:14
Scan Name,Scan_0J1CMD-2J1CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,16320
Horizontal Opening,153
Horizontal Percentage,60.61
Vertical Opening,121
Vertical Percentage,51.61
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247363,0.247939,0.247939,0.247969,0.247939,0.247823,0.247941,0.247765,0.247939,0.247029,0.247299,0.246251,0.245304,0.240892,0.237249,0.237297,0.240699,0.241172,0.234466,0.229726,0.239337,0.243172,0.246561,0.247692,0.247969,0.247939,0.247969,0.247939,0.247939,0.247969,0.247939,0.24797,0.247939
112,0.245186,0.244109,0.246816,0.24292,0.24414,0.244109,0.242282,0.243096,0.241074,0.238834,0.234703,0.227864,0.221829,0.211019,0.204939,0.201262,0.222315,0.225799,0.200287,0.19165,0.208684,0.218528,0.233463,0.239099,0.243546,0.244564,0.246531,0.2462,0.24666,0.246212,0.246259,0.247144,0.247941
104,0.218586,0.225735,0.227526,0.231213,0.22292,0.21377,0.217191,0.210141,0.208716,0.204687,0.194072,0.182925,0.164692,0.150318,0.141144,0.135516,0.174812,0.170054,0.135547,0.117387,0.137024,0.150967,0.17782,0.198536,0.220956,0.230814,0.232455,0.229807,0.23399,0.231437,0.228123,0.239405,0.244249
96,0.178074,0.181833,0.188819,0.187614,0.182828,0.179573,0.180003,0.164863,0.15434,0.140909,0.130522,0.106393,0.0924672,0.0838084,0.0685837,0.0635608,0.105729,0.0901289,0.0692343,0.0499022,0.06181,0.076381,0.0929166,0.121372,0.167244,0.192468,0.19244,0.194448,0.196801,0.190757,0.198269,0.208756,0.226354
88,0.151278,0.154838,0.155854,0.150235,0.147818,0.141037,0.13614,0.125653,0.104911,0.0896152,0.072054,0.0563665,0.0409665,0.0329321,0.0260202,0.0248731,0.044924,0.043682,0.0245789,0.0157692,0.019724,0.0224013,0.0300991,0.0449288,0.0714228,0.121546,0.145596,0.154137,0.15721,0.157552,0.157266,0.16293,0.191094
80,0.134033,0.133833,0.132759,0.131588,0.12829,0.121142,0.10778,0.091649,0.0709265,0.0546865,0.036873,0.0256482,0.0141794,0.00946154,0.00604901,0.00356119,0.00967458,0.00865544,0.0035296,0.00148752,0.00210789,0.00270323,0.00333803,0.00576934,0.0184811,0.0500426,0.0938195,0.122691,0.132583,0.134358,0.133302,0.137294,0.144953
72,0.127817,0.126784,0.126453,0.123542,0.11326,0.10142,0.085461,0.0643714,0.0437433,0.0292568,0.0174608,0.00978559,0.00506528,0.00203779,0.000821603,0.000323539,0.000767004,0.00052441,6.52085e-05,1.64511e-05,6.03208e-05,6.54469e-05,7.95138e-05,0.000167134,0.00221542,0.0165969,0.0532951,0.0985579,0.120878,0.126435,0.126231,0.127742,0.129724
64,0.125624,0.124081,0.123346,0.114771,0.100966,0.0837139,0.0629448,0.0400998,0.0264966,0.0150876,0.00754368,0.00340753,0.0010003,0.000316505,2.44383e-05,3.33791e-06,3.96973e-05,3.01604e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,0.000246409,0.00358921,0.0219838,0.066659,0.106957,0.122636,0.125536,0.125967,0.125998
56,0.124759,0.122486,0.115678,0.107743,0.0870292,0.064613,0.0453292,0.0285488,0.0153633,0.00694822,0.00293224,0.000907554,0.000199917,1.31132e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.2398e-05,0.000684629,0.00896694,0.0370623,0.0892869,0.116483,0.124706,0.125913,0.126161
48,0.123591,0.119275,0.107833,0.0880621,0.0664064,0.0456852,0.0263806,0.0143593,0.00565132,0.00228838,0.000748407,4.36313e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,7.62951e-05,0.00222198,0.0178171,0.0565196,0.103483,0.119369,0.125651,0.126712
40,0.123435,0.110297,0.0904107,0.070213,0.0443553,0.0268919,0.0133719,0.00585791,0.00199786,0.000374919,6.11553e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.09949e-06,0.000321155,0.00588009,0.0301264,0.0779529,0.10897,0.1229,0.127488
32,0.1184,0.0997074,0.0752267,0.0483651,0.0300819,0.0148504,0.00585374,0.00192514,0.000378614,4.41081e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.62264e-05,0.00174537,0.0143481,0.0473609,0.0923876,0.116023,0.131205
24,0.116622,0.0900992,0.0578994,0.0332092,0.0156718,0.00639198,0.0018976,0.000424749,4.07702e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.07977e-06,0.000457771,0.00601503,0.0291912,0.069673,0.108408,0.133152
16,0.120361,0.0753486,0.0412061,0.0199907,0.00801649,0.00245694,0.000467784,1.34709e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.20678e-05,0.00229422,0.0162505,0.0499208,0.0964422,0.138262
8,0.113992,0.0670735,0.0308712,0.011206,0.00334912,0.000490077,7.39109e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.88766e-06,0.000563749,0.00798297,0.0326426,0.0841841,0.145889
