SW Version,2022.1
Date and Time Started,2024-Feb-01 18:23:27
Date and Time Ended,2024-Feb-01 18:23:39
Scan Name,Scan_3J5D1-0J5D2
Link Settings,
Reset RX After Applying Settings,false
Open Area,16640
Horizontal Opening,161
Horizontal Percentage,63.64
Vertical Opening,113
Vertical Percentage,48.39
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251872,0.251841,0.250766,0.251563,0.251841,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.25181,0.251132,0.250282,0.248408,0.242734,0.237954,0.247392,0.24959,0.232861,0.217477,0.228084,0.238626,0.247651,0.250949,0.251594,0.251563,0.251409,0.251779,0.251686,0.25147,0.251624,0.251717,0.251934
96,0.244798,0.249026,0.251594,0.251378,0.250888,0.250493,0.249442,0.249529,0.247402,0.244763,0.240852,0.233664,0.218901,0.203683,0.189944,0.188248,0.203144,0.206095,0.178203,0.159037,0.164351,0.172282,0.18442,0.209067,0.228452,0.236909,0.237594,0.237538,0.23601,0.236335,0.23788,0.242845,0.249411
88,0.200272,0.215087,0.232808,0.229186,0.227942,0.221876,0.220885,0.214305,0.208118,0.197379,0.182975,0.161972,0.143777,0.131429,0.122248,0.118016,0.156914,0.161186,0.11756,0.08792,0.0998702,0.114163,0.126828,0.147372,0.171535,0.190382,0.199333,0.197994,0.19827,0.198093,0.202072,0.210555,0.229815
80,0.156648,0.153414,0.155198,0.151354,0.148959,0.147428,0.142153,0.131682,0.117487,0.0996426,0.0772354,0.0620381,0.0472036,0.0347678,0.0240314,0.0205005,0.0564014,0.0698987,0.0244803,0.00678275,0.00938411,0.0110158,0.0121018,0.0213614,0.0459556,0.0868412,0.118273,0.133363,0.136522,0.135014,0.138366,0.149917,0.180574
72,0.130711,0.131549,0.127606,0.126764,0.124756,0.11786,0.107232,0.0886598,0.0658245,0.0426217,0.0259091,0.0145139,0.00622055,0.00185826,0.000287776,9.75147e-05,0.00172022,0.00359207,0.000161173,8.34478e-07,6.07977e-06,2.70609e-05,4.14855e-05,0.000145795,0.00365752,0.0244508,0.0687238,0.107998,0.125342,0.125967,0.125975,0.126153,0.12945
64,0.12593,0.125945,0.125735,0.12358,0.115003,0.10197,0.0819582,0.0551717,0.0304468,0.0167177,0.00743412,0.00161889,0.000139715,4.76844e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.96056e-07,8.36862e-05,0.00369376,0.0275135,0.0732652,0.113623,0.125689,0.125959,0.125967,0.125967
56,0.12592,0.12589,0.124089,0.115914,0.101385,0.0787439,0.0469934,0.0249766,0.0127043,0.0036332,0.000433809,9.6561e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,0.000207547,0.00664971,0.039457,0.0841778,0.119339,0.125874,0.125959,0.125967
48,0.125968,0.124391,0.115055,0.100529,0.0723052,0.04262,0.0206233,0.00903522,0.00158706,7.79641e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.15267e-07,0.000379211,0.0101394,0.0478598,0.0946635,0.12265,0.125951,0.125967
