SW Version,2022.2
Date and Time Started,2024-Jan-18 11:28:38
Date and Time Ended,2024-Jan-18 11:29:15
Scan Name,Scan_1J3CMD-3J3CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,7488
Horizontal Opening,113
Horizontal Percentage,45.45
Vertical Opening,65
Vertical Percentage,29.03
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247076,0.247447,0.247796,0.247478,0.247018,0.246356,0.246809,0.245806,0.245966,0.244397,0.241563,0.240316,0.240263,0.237191,0.231986,0.231615,0.23722,0.238267,0.229096,0.224925,0.231753,0.236964,0.238961,0.243315,0.245242,0.247542,0.247048,0.247263,0.2477,0.247506,0.247725,0.247969,0.247939
112,0.237296,0.241213,0.242898,0.24234,0.239364,0.238052,0.237736,0.234843,0.22965,0.228921,0.225405,0.217412,0.212703,0.205298,0.194862,0.195068,0.211955,0.211045,0.188601,0.179977,0.19006,0.206073,0.219889,0.228496,0.234976,0.239795,0.242546,0.244334,0.243865,0.243327,0.243639,0.245531,0.24785
104,0.219809,0.221956,0.226193,0.224154,0.222875,0.218863,0.209875,0.207978,0.204454,0.191953,0.184346,0.170536,0.15677,0.143916,0.139053,0.128104,0.162706,0.162012,0.124812,0.107658,0.125157,0.139361,0.154254,0.174539,0.2045,0.220749,0.226889,0.233156,0.231586,0.232918,0.235564,0.234723,0.239061
96,0.176298,0.177395,0.187854,0.182288,0.178142,0.168036,0.164147,0.150906,0.142157,0.12586,0.112796,0.0959359,0.0801225,0.0668789,0.0577231,0.05623,0.0863112,0.0929519,0.0577384,0.044054,0.0518178,0.0569091,0.067026,0.0757204,0.107755,0.153644,0.18267,0.193823,0.203316,0.204125,0.204556,0.213442,0.225052
88,0.154555,0.15205,0.151721,0.146487,0.13682,0.12842,0.125069,0.112625,0.0963487,0.082756,0.0648507,0.0502603,0.038784,0.0328594,0.0254031,0.0247536,0.0345294,0.040632,0.0254857,0.0199321,0.0225695,0.0243367,0.0265052,0.0321313,0.0392625,0.068155,0.116166,0.141325,0.155091,0.159569,0.163727,0.170732,0.201606
80,0.137066,0.135823,0.132575,0.128382,0.120106,0.111431,0.0952882,0.079057,0.0640302,0.0472176,0.0368579,0.0244207,0.0191194,0.0156025,0.014105,0.0128673,0.0158567,0.0173141,0.0115446,0.00945344,0.0110651,0.0110009,0.0132188,0.0169314,0.0227058,0.0311052,0.0590899,0.104113,0.12646,0.139466,0.138128,0.144437,0.153774
72,0.129812,0.126943,0.122868,0.117748,0.100067,0.0861804,0.0717035,0.0525416,0.0388372,0.0266284,0.019056,0.0132701,0.0108419,0.00835873,0.00679968,0.00597331,0.00749182,0.00764799,0.00537022,0.00370735,0.00420732,0.00445289,0.00536486,0.0068519,0.0104902,0.0173599,0.030059,0.0682967,0.107719,0.127728,0.132246,0.134926,0.139817
64,0.126422,0.120587,0.111737,0.101397,0.0851709,0.0632845,0.0476058,0.0319442,0.0225097,0.0143697,0.0105148,0.00808716,0.00545641,0.00365406,0.00247816,0.00161328,0.00227431,0.00254087,0.00118675,0.000639448,0.000696193,0.00101306,0.00131585,0.00168851,0.00288872,0.00726198,0.0160908,0.036407,0.0792168,0.111906,0.122503,0.12956,0.135963
56,0.122019,0.112,0.101537,0.0841052,0.0643324,0.0459447,0.0329807,0.0212602,0.0138555,0.00995774,0.00723683,0.00488551,0.00292222,0.00170281,0.000625978,0.000305657,0.000373012,0.000568756,0.000190857,4.25584e-05,7.86793e-05,0.000118496,0.000183943,0.000249032,0.000608096,0.00246219,0.00835515,0.0211788,0.0518135,0.0953328,0.117,0.125447,0.133545
48,0.120641,0.106959,0.087887,0.0673776,0.0463822,0.0309839,0.0207547,0.0135024,0.00917584,0.00636981,0.00419265,0.00228003,0.000948444,0.000305419,0.000117423,6.28243e-05,1.66896e-05,3.56441e-05,1.13251e-05,2.62264e-06,2.86107e-06,5.96056e-07,2.1458e-06,1.28748e-05,7.18843e-05,0.000666271,0.00358301,0.0116225,0.0328538,0.0725284,0.103703,0.121796,0.13277
