SW Version,2022.2
Date and Time Started,2024-Jan-18 11:40:12
Date and Time Ended,2024-Jan-18 11:40:49
Scan Name,Scan_3J6D0-1J6D3
Link Settings,
Reset RX After Applying Settings,false
Open Area,17600
Horizontal Opening,169
Horizontal Percentage,66.67
Vertical Opening,113
Vertical Percentage,48.39
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.25181,0.251872,0.251903,0.251903,0.251903,0.251903,0.251872,0.251872,0.25181,0.251841,0.25181,0.251717,0.251841,0.251562,0.251409,0.251501,0.251934,0.251748,0.24971,0.247763,0.250554,0.251748,0.251841,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.242631,0.24879,0.251194,0.250553,0.248877,0.248524,0.248377,0.247536,0.244031,0.239458,0.239844,0.238292,0.235972,0.229286,0.227388,0.224605,0.248579,0.237499,0.207419,0.192334,0.217147,0.227807,0.241271,0.248904,0.25147,0.251903,0.251872,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903
104,0.188657,0.202574,0.219706,0.214746,0.211655,0.20554,0.203554,0.202495,0.201583,0.192407,0.187005,0.174184,0.163686,0.148993,0.143502,0.148298,0.200643,0.173527,0.126753,0.102782,0.124962,0.142999,0.168269,0.202987,0.234263,0.246755,0.249815,0.250241,0.248902,0.247612,0.249208,0.251008,0.251841
96,0.142112,0.141277,0.142976,0.144339,0.141924,0.141208,0.137222,0.127992,0.115365,0.100196,0.0824839,0.068193,0.0571737,0.0471155,0.0364959,0.0315943,0.0921651,0.0620016,0.0150026,0.00613484,0.0133801,0.0179382,0.0204661,0.0345624,0.0636754,0.115489,0.15336,0.167142,0.169372,0.174459,0.181331,0.209994,0.236472
88,0.128122,0.127613,0.126945,0.126902,0.126312,0.122774,0.114299,0.101517,0.0834291,0.0668446,0.0505686,0.0394076,0.0261701,0.0134882,0.00659893,0.0044511,0.0127199,0.0040738,0.000415689,6.47316e-05,0.000367766,0.000589499,0.00105466,0.00176146,0.00873364,0.0379238,0.0836668,0.121887,0.132561,0.133808,0.137991,0.149697,0.168035
80,0.125952,0.125937,0.125923,0.12528,0.121816,0.11157,0.0949542,0.0746454,0.0560106,0.0392483,0.0243471,0.0129955,0.00477536,0.00136699,0.000382668,0.000127914,0.000469453,0.000103952,1.0729e-06,3.57633e-07,2.38422e-07,1.78817e-06,2.26501e-06,1.09674e-05,0.000507601,0.00986579,0.0444427,0.0906226,0.119044,0.125845,0.12649,0.128406,0.133673
72,0.12592,0.12592,0.125519,0.121325,0.109237,0.0898076,0.0671378,0.044069,0.0266123,0.0130256,0.0048029,0.00123157,0.000227336,1.44245e-05,6.19898e-06,2.74186e-06,1.19211e-06,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.15635e-05,0.00114669,0.0163228,0.0559331,0.101463,0.12278,0.125889,0.125975,0.126099
64,0.125921,0.12555,0.123134,0.111254,0.0877,0.0627366,0.0379255,0.0195076,0.00786349,0.00230769,0.000425345,4.37505e-05,1.78817e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,6.68774e-05,0.00352924,0.0283174,0.0730966,0.111458,0.124683,0.125967,0.125967
56,0.125836,0.124089,0.116521,0.0937888,0.0667527,0.0393932,0.0196377,0.00733554,0.00176373,0.000277762,2.01467e-05,1.31132e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.1458e-06,0.000536688,0.0118441,0.0483125,0.0947106,0.120311,0.125689,0.125967
48,0.124904,0.119905,0.0992426,0.0712388,0.0415579,0.0183662,0.00626562,0.00131216,0.000131609,5.72213e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.42136e-05,0.0029047,0.0249598,0.0691559,0.107504,0.123914,0.126302
