SW Version,2022.2
Date and Time Started,2024-Feb-15 13:06:06
Date and Time Ended,2024-Feb-15 13:06:40
Scan Name,Scan_1J5CMD-3J5CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,18112
Horizontal Opening,177
Horizontal Percentage,69.70
Vertical Opening,121
Vertical Percentage,51.61
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.24791,0.24791,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969
112,0.247969,0.247969,0.247939,0.247969,0.247939,0.24797,0.247969,0.247969,0.247939,0.247969,0.247939,0.247909,0.247814,0.247569,0.246924,0.246107,0.247845,0.247109,0.240563,0.237206,0.244887,0.246623,0.247721,0.247939,0.24791,0.247939,0.247939,0.24797,0.247939,0.24797,0.247939,0.247939,0.247939
104,0.246818,0.247823,0.247939,0.247939,0.247912,0.247678,0.247794,0.247649,0.247045,0.247009,0.245098,0.241253,0.23428,0.222992,0.212495,0.208375,0.232548,0.218713,0.193471,0.185692,0.196759,0.21422,0.229101,0.243661,0.247049,0.247477,0.247754,0.247818,0.247848,0.247631,0.247878,0.247939,0.24797
96,0.221406,0.236145,0.24139,0.240006,0.23682,0.232951,0.230039,0.224916,0.220602,0.209941,0.195746,0.181761,0.160057,0.151476,0.143221,0.144527,0.183322,0.173863,0.127925,0.109892,0.131318,0.144036,0.165314,0.190424,0.223168,0.233043,0.235624,0.236998,0.237539,0.238059,0.241167,0.245099,0.247205
88,0.169877,0.183229,0.191231,0.187824,0.181271,0.173955,0.171063,0.161522,0.145884,0.128177,0.108347,0.0918553,0.0795344,0.0655598,0.0510629,0.0498683,0.111524,0.0859187,0.0396095,0.026759,0.0378092,0.0486442,0.0537912,0.0759259,0.122827,0.167318,0.185228,0.186933,0.185775,0.190156,0.196699,0.222457,0.237103
80,0.139134,0.13657,0.13452,0.132428,0.12879,0.123353,0.113943,0.09835,0.0784736,0.0579383,0.0421281,0.0275364,0.0151452,0.00663899,0.00240508,0.00104202,0.0113163,0.00674258,0.000598321,0.000135066,0.000486739,0.000811828,0.00119843,0.00196472,0.0103681,0.0508263,0.105024,0.126875,0.129374,0.128935,0.131838,0.146359,0.169768
72,0.127856,0.127107,0.12592,0.123331,0.117719,0.107054,0.087233,0.0643687,0.0455184,0.0289132,0.0148886,0.00573072,0.00145426,0.000214699,2.1458e-05,4.76844e-07,9.17926e-06,9.53689e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.90738e-06,0.000356322,0.00876011,0.0505193,0.104975,0.124379,0.12599,0.126029,0.126451,0.127913
64,0.125954,0.125509,0.12394,0.118189,0.104938,0.0837822,0.0594995,0.0381203,0.0221787,0.00995409,0.00267545,0.000446207,2.51535e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,9.89452e-06,0.000993982,0.0153156,0.0669338,0.112938,0.125186,0.125951,0.125967,0.126013
56,0.125458,0.12364,0.11929,0.106643,0.0821423,0.0575079,0.03541,0.019183,0.00737559,0.00159302,0.000155332,4.64923e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,7.6772e-05,0.00345808,0.031515,0.0887935,0.120436,0.12572,0.125967,0.125967
48,0.1238,0.120497,0.108611,0.0845152,0.0560781,0.0337215,0.0167259,0.00543317,0.000919356,4.85189e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-06,0.00034452,0.00917251,0.045473,0.101352,0.122557,0.12592,0.125998
40,0.121844,0.112328,0.0889031,0.0586812,0.0336705,0.015745,0.00459201,0.000563749,1.5259e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.20541e-05,0.00187424,0.0199538,0.0676145,0.11082,0.124713,0.126744
32,0.117947,0.0976661,0.0648914,0.0370741,0.016779,0.0045969,0.000460274,1.0729e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.96056e-07,0.00024486,0.00635896,0.0352036,0.0856003,0.118475,0.129611
24,0.117615,0.0800342,0.0468228,0.021911,0.00642131,0.00084175,1.43053e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.93122e-05,0.00190261,0.0172001,0.0594799,0.104632,0.132958
16,0.118083,0.0616143,0.0261808,0.00781739,0.000973478,1.81201e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,0.000244264,0.00591597,0.0325848,0.0831705,0.141308
8,0.120876,0.0525282,0.0119843,0.00132753,3.32599e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.95506e-05,0.00157692,0.017639,0.0688789,0.150002
0,0.121525,0.0513558,0.0110394,0.000813258,1.34709e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.87436e-05,0.00170055,0.015849,0.0720757,0.147465
-8,0.121108,0.0636939,0.0253322,0.00655077,0.000617037,1.15635e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.43053e-06,0.000399357,0.00581118,0.033326,0.0891239,0.141531
-16,0.116725,0.0816533,0.0470416,0.0207344,0.00501652,0.000396377,5.24529e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.04126e-05,0.00195268,0.0167387,0.0618181,0.10801,0.133194
