SW Version,2022.2
Date and Time Started,2024-Feb-15 10:06:05
Date and Time Ended,2024-Feb-15 10:06:40
Scan Name,Scan_3J1D3-1J1D0
Link Settings,
Reset RX After Applying Settings,false
Open Area,13760
Horizontal Opening,169
Horizontal Percentage,66.67
Vertical Opening,97
Vertical Percentage,41.94
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251841,0.251624,0.251378,0.251841,0.251872,0.25098,0.250523,0.251748,0.251748,0.251841,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
96,0.25181,0.251872,0.251903,0.251903,0.251872,0.251903,0.251903,0.251903,0.251872,0.25181,0.251655,0.251163,0.24995,0.248233,0.242097,0.238731,0.247217,0.245629,0.232942,0.224608,0.235025,0.24152,0.246816,0.250312,0.251563,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903
88,0.247505,0.250101,0.251501,0.251347,0.251316,0.250888,0.250462,0.25013,0.250215,0.249357,0.244868,0.240516,0.229854,0.224819,0.207789,0.201749,0.220396,0.217943,0.193342,0.177492,0.188889,0.197569,0.213709,0.228277,0.241286,0.249382,0.250584,0.251317,0.251409,0.251347,0.251501,0.25181,0.251903
80,0.202854,0.207713,0.227708,0.230354,0.223916,0.221091,0.217939,0.214736,0.206071,0.20103,0.183879,0.167391,0.150129,0.135687,0.128125,0.11409,0.156237,0.160068,0.112456,0.0858139,0.0923188,0.105644,0.119166,0.139402,0.174711,0.206676,0.224566,0.23053,0.232603,0.231997,0.237022,0.242471,0.250705
72,0.144777,0.146,0.149623,0.150201,0.148352,0.142566,0.133986,0.123053,0.103206,0.0849767,0.0682072,0.0506433,0.0365867,0.0247663,0.0155782,0.0130438,0.0433314,0.0514872,0.0202594,0.00723552,0.0102169,0.0123629,0.0133677,0.0163746,0.0288255,0.0613854,0.101796,0.134586,0.141301,0.142628,0.151361,0.172639,0.215473
64,0.128092,0.128142,0.127466,0.126501,0.122251,0.111482,0.0951776,0.0747993,0.0560916,0.0376423,0.0242539,0.0122647,0.005362,0.0021222,0.000804079,0.000441677,0.00173726,0.00262551,0.000658284,0.000138285,0.000183227,0.000273232,0.000289921,0.000331168,0.000880493,0.00905432,0.0419171,0.0847196,0.117288,0.125952,0.126607,0.127575,0.134711
56,0.126057,0.12608,0.125441,0.11978,0.110646,0.0924853,0.068799,0.0479829,0.0293306,0.0167117,0.00664614,0.00226179,0.000635634,0.000138166,3.68362e-05,6.31819e-06,3.09949e-05,2.02659e-05,1.19211e-06,2.38422e-07,1.31132e-06,3.57633e-07,5.96056e-07,1.43053e-06,1.47822e-05,0.000975028,0.0145566,0.0531263,0.0979961,0.122837,0.125928,0.125982,0.126223
48,0.12589,0.12549,0.122048,0.109447,0.0897292,0.0624154,0.0390567,0.0222839,0.00973751,0.00336914,0.000714671,0.000153544,1.22787e-05,9.53689e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.67033e-05,0.00198272,0.0239623,0.0641447,0.10629,0.124675,0.125959,0.125967
40,0.125937,0.123491,0.112033,0.0906985,0.0609298,0.0360229,0.0179597,0.00676225,0.00181952,0.00038076,5.69829e-05,3.57633e-06,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000120642,0.0063642,0.0355212,0.0829111,0.116252,0.125635,0.126083
32,0.125787,0.117918,0.094307,0.0640953,0.0350033,0.0154458,0.00546964,0.00108434,0.000184539,1.56167e-05,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-06,0.0010009,0.0156307,0.0502455,0.0977719,0.121754,0.126759
24,0.126327,0.107782,0.0742557,0.0398656,0.0174731,0.00593218,0.00122299,0.000161412,1.49014e-05,1.43053e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,9.75147e-05,0.00528117,0.0315781,0.0752236,0.111542,0.12894
16,0.129522,0.0907026,0.0503995,0.0210222,0.00619218,0.00125315,0.000151756,9.6561e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.07977e-06,0.00105132,0.0150035,0.0474007,0.0935378,0.132927
