SW Version,2022.1
Date and Time Started,2023-Oct-17 13:27:35
Date and Time Ended,2023-Oct-17 13:27:46
Scan Name,0J4CMD-2-J4CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,8000
Horizontal Opening,121
Horizontal Percentage,48.48
Vertical Opening,65
Vertical Percentage,29.03
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247536,0.24791,0.247969,0.247941,0.24797,0.247854,0.247852,0.247736,0.247823,0.247969,0.247852,0.247377,0.247694,0.247311,0.246622,0.246591,0.247754,0.247881,0.246259,0.246652,0.24708,0.247879,0.247969,0.247969,0.247969,0.247939,0.247939,0.247969,0.24797,0.24797,0.247939,0.247939,0.247939
112,0.245464,0.247016,0.245241,0.246166,0.243868,0.245186,0.24552,0.245744,0.245999,0.245227,0.245441,0.243092,0.243285,0.241427,0.238145,0.23809,0.243922,0.241706,0.23703,0.237224,0.2434,0.247052,0.247482,0.24797,0.247881,0.247848,0.247941,0.247879,0.247939,0.247794,0.24791,0.247939,0.247969
104,0.232042,0.234141,0.237514,0.236003,0.235844,0.235539,0.23205,0.244713,0.227842,0.230411,0.228351,0.220997,0.221491,0.217288,0.21453,0.210108,0.225622,0.231296,0.211288,0.205412,0.217145,0.231278,0.237041,0.239929,0.244198,0.243115,0.244801,0.243952,0.245032,0.243748,0.245695,0.246957,0.247723
96,0.197598,0.208102,0.208331,0.206063,0.201068,0.200442,0.212274,0.199134,0.196393,0.190962,0.184955,0.184882,0.187784,0.153504,0.150582,0.140331,0.175791,0.179322,0.164162,0.132581,0.151549,0.170802,0.204149,0.201963,0.228245,0.225588,0.234785,0.235247,0.232217,0.22695,0.229757,0.23918,0.244748
88,0.162499,0.16697,0.170161,0.166339,0.167066,0.167243,0.163514,0.160137,0.156553,0.150276,0.133491,0.120132,0.110189,0.0913159,0.085823,0.077391,0.124445,0.120182,0.0860818,0.0851948,0.0777612,0.107769,0.128413,0.139443,0.161008,0.179994,0.197809,0.201077,0.201538,0.204176,0.198265,0.215834,0.227084
80,0.142474,0.141364,0.142243,0.140483,0.138066,0.139875,0.13331,0.126714,0.116937,0.102326,0.0926218,0.0776592,0.0577144,0.0473225,0.0510614,0.032519,0.0464599,0.0511382,0.0332976,0.0259403,0.0292459,0.0378862,0.0459464,0.0642673,0.096177,0.124974,0.15081,0.163155,0.16585,0.167427,0.166869,0.175545,0.188025
72,0.131435,0.130493,0.130991,0.130836,0.125052,0.123074,0.113636,0.104801,0.0922401,0.0654668,0.0513198,0.0391332,0.0274129,0.019356,0.0167497,0.0130338,0.0172104,0.0191556,0.0154626,0.0085342,0.0113251,0.0134032,0.0173801,0.024451,0.0567555,0.0715103,0.100749,0.127528,0.142618,0.147565,0.145687,0.154598,0.161008
64,0.127363,0.125986,0.125528,0.123281,0.123017,0.109027,0.0925467,0.085704,0.0654912,0.0463784,0.0357598,0.0202953,0.0124009,0.0104328,0.0067272,0.00534173,0.00666748,0.00735664,0.00409061,0.0022916,0.00342374,0.00359231,0.00538739,0.00916928,0.0167752,0.0374098,0.0674188,0.0979826,0.120859,0.131101,0.132457,0.134269,0.137289
56,0.124843,0.126148,0.122147,0.116371,0.107851,0.0965316,0.0799285,0.0594016,0.0469898,0.0321996,0.0203424,0.0110396,0.00723909,0.00448436,0.00273113,0.00188032,0.00194302,0.0020105,0.00092937,0.000521072,0.000666509,0.000853671,0.00102438,0.0025411,0.00721954,0.0209244,0.0440723,0.0753673,0.104671,0.120746,0.1272,0.134735,0.131352
48,0.12571,0.121814,0.113805,0.108427,0.0945683,0.0759972,0.0559006,0.0414637,0.0276873,0.015238,0.00968447,0.00559219,0.00326638,0.00156059,0.000481971,0.000333195,0.00036109,0.000272874,0.000101806,2.11004e-05,3.15909e-05,0.000156763,0.000144484,0.000217083,0.00169947,0.00731038,0.0229186,0.0530696,0.0822732,0.105861,0.121687,0.126504,0.127213
40,0.127525,0.121299,0.109662,0.0928701,0.0745693,0.0573469,0.0416865,0.0258036,0.0148023,0.00863944,0.00499661,0.0024573,0.00108089,0.000317698,3.69554e-05,1.43053e-05,1.74048e-05,1.94314e-05,1.66896e-06,2.38422e-07,1.66896e-06,3.93397e-06,5.00687e-06,1.54974e-06,0.000204328,0.00268332,0.0113215,0.0330898,0.0659488,0.0915905,0.112328,0.119268,0.130432
32,0.126125,0.114901,0.0973998,0.0694556,0.0579637,0.037301,0.0231525,0.0149314,0.00769234,0.00428707,0.00200549,0.000892057,6.22282e-05,1.2398e-05,5.96056e-07,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.18019e-05,0.000702034,0.0049419,0.0186,0.0417774,0.0736357,0.101654,0.121458,0.133236
24,0.131328,0.103314,0.0809572,0.0591813,0.0377223,0.0225847,0.0132852,0.00715958,0.00311046,0.00147369,0.000473268,7.33148e-05,9.77531e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000104906,0.0018405,0.009112,0.0296309,0.0575642,0.0827849,0.113097,0.138413
