SW Version,2022.1
Date and Time Started,2023-Oct-17 13:31:33
Date and Time Ended,2023-Oct-17 13:31:43
Scan Name,0J6CMD-2J6CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,16064
Horizontal Opening,169
Horizontal Percentage,66.67
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247939,0.247969,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247969,0.24797,0.247969,0.247969,0.247939,0.247969,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.24797,0.24797,0.247969,0.247939,0.247939,0.24797,0.247969
112,0.247939,0.247939,0.247939,0.247969,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.24797,0.24791,0.247879,0.24797,0.247939,0.24791,0.247231,0.246471,0.247172,0.247448,0.247878,0.247939,0.24791,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939
104,0.24797,0.247794,0.247939,0.247939,0.247939,0.247939,0.24791,0.247939,0.247449,0.247941,0.247763,0.247384,0.246448,0.245039,0.241723,0.237697,0.2456,0.246318,0.231011,0.215612,0.222825,0.232787,0.238193,0.243029,0.246139,0.247909,0.247909,0.247909,0.247939,0.24797,0.24791,0.247939,0.247969
96,0.2426,0.239753,0.246053,0.245769,0.24521,0.243139,0.24046,0.241694,0.238627,0.236824,0.233002,0.229205,0.22337,0.21289,0.202355,0.194025,0.221927,0.216094,0.187297,0.161647,0.163046,0.177605,0.196408,0.207461,0.225848,0.238832,0.244682,0.246199,0.246502,0.246774,0.247506,0.247631,0.247939
88,0.205367,0.202635,0.220328,0.215289,0.215274,0.212387,0.208496,0.199186,0.192114,0.184914,0.169085,0.158693,0.146997,0.13203,0.124367,0.118474,0.155125,0.164403,0.11255,0.0647731,0.0694328,0.0870696,0.0935763,0.121512,0.153287,0.175555,0.202964,0.222817,0.224221,0.227898,0.233329,0.238202,0.2476
80,0.145693,0.143283,0.149556,0.147607,0.144077,0.137696,0.130185,0.119981,0.105454,0.0895655,0.0736127,0.0629971,0.0492493,0.0367656,0.0229202,0.0187026,0.0471716,0.0554099,0.0153747,0.00264506,0.00355857,0.00509008,0.0062568,0.00903522,0.0188935,0.0435807,0.0760709,0.118863,0.143081,0.143155,0.154885,0.176027,0.212654
72,0.127205,0.127109,0.126557,0.124976,0.11893,0.109223,0.0950951,0.0767789,0.0616503,0.0456773,0.0298908,0.0201175,0.00985159,0.00483043,0.00176862,0.000628719,0.00112786,0.00092782,4.73268e-05,2.86107e-06,6.79503e-06,8.34478e-06,7.27188e-06,2.61072e-05,0.000498541,0.0105966,0.0361453,0.0629712,0.102398,0.124518,0.12638,0.127574,0.135142
64,0.12594,0.125902,0.124458,0.118218,0.104212,0.087685,0.0722032,0.049425,0.0330691,0.0193461,0.00891953,0.00375885,0.00103332,0.000163915,5.14992e-05,2.50343e-06,4.76844e-07,3.45712e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-06,0.0010766,0.0151501,0.04037,0.0686899,0.110324,0.124584,0.125959,0.12599
56,0.125965,0.125427,0.121961,0.104702,0.0866903,0.0679036,0.0497612,0.0297394,0.0150432,0.00643049,0.00166323,0.000336175,5.22145e-05,8.10636e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.44383e-05,0.00374454,0.0248993,0.0490075,0.0882462,0.11826,0.125712,0.125959
48,0.126538,0.123893,0.110177,0.0916728,0.0700018,0.0452052,0.0243888,0.011149,0.00411767,0.000893845,8.65473e-05,1.09674e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.96056e-07,0.000518926,0.0107199,0.0359127,0.0603426,0.100778,0.123499,0.125967
