SW Version,2022.1
Date and Time Started,2023-Oct-17 13:26:18
Date and Time Ended,2023-Oct-17 13:26:30
Scan Name,2J3D3-0J3D0
Link Settings,
Reset RX After Applying Settings,false
Open Area,19520
Horizontal Opening,161
Horizontal Percentage,63.64
Vertical Opening,121
Vertical Percentage,51.61
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251532,0.251748,0.251903,0.251903,0.251872,0.251872,0.251872,0.251903,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.228237,0.232328,0.242605,0.244826,0.242181,0.241682,0.24021,0.241027,0.236621,0.237068,0.236889,0.235672,0.234742,0.234624,0.233341,0.240247,0.250701,0.251008,0.239048,0.218196,0.233356,0.242628,0.249787,0.251255,0.251841,0.251872,0.251903,0.251903,0.251841,0.251903,0.251748,0.251841,0.251903
104,0.159767,0.15891,0.175196,0.1697,0.176558,0.17209,0.170274,0.166739,0.163534,0.159369,0.156026,0.146016,0.146939,0.133384,0.123479,0.134151,0.190379,0.195134,0.135307,0.0926724,0.103547,0.108774,0.135762,0.159157,0.196235,0.216132,0.215584,0.211199,0.214975,0.208391,0.217994,0.24173,0.249642
96,0.130182,0.130098,0.130021,0.130171,0.129603,0.12686,0.120282,0.110832,0.101735,0.0925528,0.0822993,0.0744331,0.067402,0.0597955,0.0468243,0.0427447,0.0663833,0.0703502,0.0384513,0.018424,0.0220304,0.0253777,0.0249136,0.0233068,0.0431534,0.0800719,0.113794,0.137224,0.146091,0.143456,0.149643,0.164599,0.180899
88,0.126045,0.126143,0.12591,0.125378,0.122021,0.113194,0.103403,0.0912018,0.0781143,0.0638024,0.050058,0.039785,0.0278834,0.0199585,0.0122955,0.00938225,0.0189726,0.0212804,0.00461728,0.000612507,0.000966206,0.00140717,0.0012429,0.00173917,0.00444109,0.0264813,0.0646499,0.100746,0.122267,0.126699,0.129073,0.132671,0.143117
80,0.12592,0.12592,0.125581,0.122282,0.113123,0.0981393,0.0804767,0.0634204,0.04562,0.0316241,0.0206383,0.0138228,0.00623844,0.00264005,0.00112714,0.000568041,0.00214079,0.000684629,2.09812e-05,2.38422e-07,4.76844e-07,2.86107e-06,9.53689e-07,3.0518e-05,0.000676881,0.00443871,0.0309273,0.0697077,0.105685,0.124131,0.125951,0.126013,0.127369
72,0.12592,0.125612,0.122604,0.113928,0.0965296,0.077282,0.0541105,0.0356492,0.0204373,0.0112283,0.005246,0.00138666,0.000244264,2.69417e-05,6.19898e-06,2.38422e-07,7.27188e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.65061e-05,0.000948682,0.00857071,0.0425061,0.0842745,0.115213,0.125323,0.125951,0.125967
64,0.125925,0.12418,0.115705,0.0975039,0.076303,0.0516956,0.0288659,0.0144139,0.00627575,0.00178864,0.000197771,5.72213e-06,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.76844e-07,0.00012243,0.00197008,0.0175206,0.0568706,0.0979395,0.120413,0.125521,0.126029
56,0.12543,0.12124,0.106554,0.0827396,0.0562259,0.030436,0.0126848,0.00470836,0.000736963,2.90875e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.2187e-06,0.000642548,0.00659977,0.0343263,0.0786927,0.110358,0.124461,0.126656
48,0.125886,0.112162,0.0905221,0.0605408,0.0307985,0.0129567,0.00414461,0.000526317,1.40669e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.90232e-05,0.00183847,0.0159125,0.0543913,0.0938512,0.118447,0.128297
