SW Version,2022.1
Date and Time Started,2023-Oct-18 17:52:07
Date and Time Ended,2023-Oct-18 17:52:18
Scan Name,2J5D2-1J5D1
Link Settings,
Reset RX After Applying Settings,false
Open Area,15552
Horizontal Opening,161
Horizontal Percentage,63.64
Vertical Opening,97
Vertical Percentage,41.94
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251841,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.249829,0.250554,0.251133,0.250705,0.251041,0.25098,0.250433,0.250584,0.250797,0.251041,0.251132,0.25107,0.250486,0.250332,0.249936,0.250795,0.251779,0.25181,0.249138,0.242085,0.246532,0.24899,0.251041,0.251532,0.251872,0.251903,0.251872,0.251903,0.251872,0.251903,0.25181,0.251934,0.251872
96,0.223381,0.228637,0.240774,0.239747,0.238824,0.237441,0.234747,0.234731,0.232094,0.231307,0.227714,0.22496,0.218904,0.213919,0.210347,0.21165,0.237466,0.235596,0.209669,0.187805,0.203582,0.209287,0.220448,0.231909,0.240963,0.246697,0.247947,0.247767,0.24829,0.249247,0.249525,0.250857,0.251686
88,0.168108,0.181925,0.194583,0.188596,0.188481,0.187703,0.187316,0.183113,0.176941,0.167006,0.157635,0.145091,0.137742,0.12916,0.126005,0.130808,0.180013,0.174845,0.128797,0.0864956,0.0965454,0.112858,0.127623,0.154779,0.167563,0.186512,0.199078,0.203144,0.206982,0.205994,0.215198,0.235563,0.245711
80,0.133361,0.131447,0.133466,0.133469,0.132986,0.131268,0.127475,0.119101,0.106884,0.088845,0.073868,0.0632512,0.0569999,0.048542,0.0440933,0.0429451,0.0679344,0.0636512,0.0277178,0.0146313,0.0157878,0.0152315,0.0157829,0.0329346,0.0560513,0.0824052,0.110594,0.130807,0.13884,0.140813,0.144341,0.157227,0.18625
72,0.125974,0.125935,0.125994,0.125847,0.123752,0.117302,0.10428,0.0844656,0.0683359,0.0538469,0.0439643,0.0325821,0.0242592,0.0161938,0.0107392,0.00866025,0.0151019,0.0121899,0.00293581,0.000348812,0.000366097,0.00015557,0.000223282,0.00137617,0.0110102,0.0351735,0.0625284,0.0970494,0.116138,0.125034,0.126294,0.127211,0.133957
64,0.12592,0.12592,0.125704,0.12278,0.114642,0.100194,0.0774222,0.0569514,0.0447312,0.0323453,0.0196672,0.00907671,0.00437088,0.0019609,0.000991717,0.000565299,0.00142445,0.000890269,3.0518e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,9.14349e-05,0.00156274,0.0127194,0.0386244,0.0682377,0.102952,0.119131,0.125391,0.125967,0.12599
56,0.125921,0.125797,0.123999,0.116204,0.0965296,0.0736363,0.0549821,0.0405187,0.0252202,0.0120672,0.004878,0.00127818,0.000188592,2.30077e-05,6.55661e-06,4.76844e-07,8.94083e-06,3.2187e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.31132e-06,0.00015867,0.00263945,0.0187784,0.0461871,0.0800141,0.110077,0.12212,0.125897,0.125967
48,0.125985,0.124694,0.117889,0.0972631,0.0700305,0.0517793,0.0354052,0.0182777,0.00643645,0.0016438,0.000214103,6.55661e-06,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.90738e-06,0.00037027,0.00574156,0.0281168,0.0543583,0.0917341,0.114938,0.124439,0.126099
