SW Version,2022.1
Date and Time Started,2023-Oct-12 14:12:57
Date and Time Ended,2023-Oct-12 14:13:08
Scan Name,1J4CMD-3J4CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,11904
Horizontal Opening,153
Horizontal Percentage,60.61
Vertical Opening,89
Vertical Percentage,38.71
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247969,0.247969,0.247969,0.24797,0.247969,0.24797,0.247939
112,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.24797,0.247969,0.24797,0.247939,0.247969,0.247969,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.246895,0.24797,0.24797,0.24797,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939
104,0.245517,0.247825,0.247939,0.247939,0.247939,0.247941,0.24791,0.247939,0.247507,0.247447,0.247825,0.242183,0.246011,0.246679,0.245906,0.245904,0.247787,0.247354,0.244184,0.241707,0.246383,0.247883,0.247754,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.24797,0.247969,0.247939,0.247939
96,0.239551,0.244081,0.24284,0.240774,0.239099,0.244519,0.240949,0.239829,0.239168,0.23575,0.23563,0.229435,0.228459,0.224179,0.217612,0.21506,0.233664,0.237088,0.210979,0.194329,0.219415,0.231776,0.242989,0.24614,0.247821,0.247315,0.247696,0.246322,0.245851,0.244441,0.247796,0.24791,0.247939
88,0.230111,0.200982,0.217397,0.217282,0.209661,0.209388,0.203045,0.195873,0.201549,0.194333,0.192162,0.199972,0.162359,0.147346,0.134405,0.141927,0.193279,0.16796,0.132131,0.108369,0.131371,0.168834,0.192481,0.21765,0.224167,0.231366,0.232513,0.231541,0.231175,0.231988,0.230418,0.241427,0.246706
80,0.157189,0.156218,0.160693,0.155568,0.155779,0.154324,0.146662,0.144903,0.137532,0.113606,0.110031,0.0976576,0.0768939,0.0634186,0.0530243,0.046801,0.0896049,0.0830469,0.0419105,0.0270894,0.0331444,0.0417023,0.059392,0.0890692,0.122496,0.153685,0.164819,0.173459,0.180439,0.177199,0.179355,0.206554,0.215516
72,0.13462,0.1334,0.135321,0.13217,0.130189,0.127716,0.124271,0.11629,0.103694,0.084607,0.0628124,0.0469875,0.0357997,0.0229584,0.0152173,0.0104575,0.0231247,0.0211482,0.0101253,0.00478203,0.00619194,0.00795877,0.012794,0.0199254,0.0459848,0.086133,0.117791,0.142246,0.139177,0.141545,0.142855,0.152103,0.165956
64,0.1278,0.127573,0.127084,0.126864,0.126494,0.117443,0.108621,0.0920824,0.0708098,0.0491169,0.0360863,0.0212613,0.0115419,0.00633285,0.00367158,0.00334578,0.00431067,0.00331574,0.000647078,0.000143769,0.000383979,0.00042153,0.00051833,0.00228099,0.0112319,0.0343858,0.0760966,0.10684,0.12313,0.127821,0.130479,0.128531,0.136388
56,0.12636,0.126227,0.125722,0.120245,0.11514,0.100701,0.0861956,0.0681147,0.0380156,0.0300466,0.0144935,0.00684844,0.00323706,0.00120201,0.000233296,0.0001179,0.000222686,0.000211361,2.24117e-05,0.000187638,2.38422e-07,3.09949e-06,5.00687e-06,0.000171664,0.00354844,0.014787,0.0431534,0.0836542,0.109894,0.123687,0.126116,0.126617,0.127515
48,0.125995,0.124094,0.122078,0.115652,0.100175,0.0779764,0.0573212,0.0378358,0.0201986,0.0115032,0.00478871,0.00146236,0.000215653,5.24529e-05,1.78817e-06,2.38422e-07,1.43053e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.70241e-06,0.000165346,0.00455684,0.0182728,0.0529885,0.0908487,0.116308,0.122092,0.125897,0.126013
40,0.125196,0.120628,0.110773,0.0960767,0.0721117,0.0545022,0.0354198,0.0188525,0.00873853,0.00380319,0.000973955,9.0362e-05,1.54974e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.86107e-06,0.000431067,0.00600204,0.0295832,0.059344,0.0998933,0.114378,0.124248,0.127063
32,0.128054,0.112862,0.0951864,0.0756044,0.0528155,0.0294741,0.015623,0.00637434,0.00254981,0.000429398,0.000113131,6.67582e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.47822e-05,0.00112654,0.00996102,0.0300846,0.068881,0.0985407,0.12024,0.131716
24,0.126447,0.0996168,0.0728171,0.0522911,0.030953,0.015278,0.00684641,0.00223855,0.000393158,3.55249e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,0.000163558,0.00406677,0.0172879,0.0432056,0.0808615,0.109512,0.132452
16,0.134951,0.0930399,0.0532101,0.0316266,0.0141343,0.00470514,0.00163415,0.000296001,7.62951e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.67582e-06,0.000796569,0.00651012,0.0227931,0.0532151,0.0955511,0.137851
