SW Version,2022.1
Date and Time Started,2024-Feb-06 18:58:54
Date and Time Ended,2024-Feb-06 18:59:04
Scan Name,Scan_0J5CMD-3J5CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,9152
Horizontal Opening,145
Horizontal Percentage,57.58
Vertical Opening,81
Vertical Percentage,35.48
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.24797,0.247969,0.247939,0.24797,0.247969,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247969,0.247969,0.247939,0.247969,0.247969,0.247939
112,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.24797,0.247939,0.247939,0.24797,0.247939,0.24797,0.247969,0.247939,0.247939
104,0.247939,0.247939,0.247969,0.24797,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.248,0.247941,0.247969,0.247939
96,0.247969,0.247939,0.24797,0.247969,0.247939,0.247969,0.247939,0.247736,0.247854,0.247592,0.247188,0.247305,0.24699,0.247217,0.246904,0.247217,0.247941,0.247969,0.247939,0.247939,0.247939,0.24791,0.24791,0.247939,0.247848,0.24791,0.247723,0.247262,0.246229,0.245243,0.244711,0.243951,0.246774
88,0.246588,0.24791,0.247738,0.247536,0.247332,0.246135,0.245489,0.244933,0.244031,0.243166,0.242256,0.241729,0.241104,0.239962,0.239399,0.239341,0.245943,0.247223,0.247453,0.246682,0.246985,0.246956,0.244917,0.243604,0.243086,0.241337,0.238912,0.233881,0.231612,0.229439,0.226807,0.225653,0.233559
80,0.231835,0.23715,0.239093,0.237061,0.23518,0.230932,0.228125,0.225175,0.223461,0.220363,0.218754,0.214177,0.213506,0.204094,0.194869,0.190981,0.217918,0.224646,0.220814,0.22064,0.226868,0.224436,0.225148,0.22425,0.221242,0.21901,0.21623,0.215436,0.21188,0.209775,0.209049,0.209094,0.212222
72,0.198134,0.201634,0.204394,0.201012,0.196415,0.191182,0.187905,0.18726,0.18023,0.178307,0.171075,0.159494,0.144083,0.125591,0.106957,0.0978986,0.127165,0.124758,0.120658,0.151064,0.17222,0.179784,0.188706,0.196431,0.199074,0.196867,0.195072,0.190254,0.188065,0.185047,0.18518,0.187234,0.192231
64,0.153372,0.149754,0.153311,0.14916,0.147117,0.14356,0.139813,0.136501,0.128462,0.116176,0.0999863,0.0788842,0.0601244,0.0416434,0.0263636,0.0176422,0.0308377,0.0295634,0.0191303,0.0502958,0.0986034,0.108216,0.113379,0.118513,0.13184,0.143698,0.1482,0.148148,0.146995,0.143881,0.143914,0.150108,0.164013
56,0.134594,0.132667,0.129314,0.128038,0.127449,0.125717,0.120854,0.114807,0.100021,0.0801113,0.0570001,0.0389375,0.0241773,0.0141759,0.00744497,0.00316637,0.00270466,0.0016711,0.000804317,0.00813997,0.0377093,0.0451741,0.0552019,0.0659824,0.0780595,0.0918293,0.112867,0.125854,0.128939,0.130802,0.130601,0.133016,0.137177
48,0.127657,0.127272,0.12615,0.125283,0.123024,0.117891,0.105959,0.0858041,0.0636491,0.0417443,0.0249316,0.0145553,0.00760603,0.00255231,0.0004927,7.22419e-05,2.47959e-05,6.67582e-06,2.38422e-07,0.000147345,0.00252012,0.00553175,0.0128666,0.0239346,0.0418224,0.0586245,0.0737832,0.0945959,0.113478,0.122803,0.125678,0.126807,0.127916
40,0.124471,0.12321,0.122751,0.119708,0.112674,0.0963842,0.0709033,0.0477873,0.0287137,0.0164117,0.00858138,0.00309424,0.000650297,5.38834e-05,1.19211e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.31132e-06,2.45575e-05,0.000458367,0.00310223,0.0106949,0.0249756,0.0455087,0.0653659,0.0847401,0.103653,0.117757,0.124178,0.125928
