SW Version,2022.1
Date and Time Started,2024-Feb-06 18:46:31
Date and Time Ended,2024-Feb-06 18:46:43
Scan Name,Scan_2J4D1-1J4D2
Link Settings,
Reset RX After Applying Settings,false
Open Area,9344
Horizontal Opening,137
Horizontal Percentage,54.55
Vertical Opening,73
Vertical Percentage,32.26
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251532,0.251841,0.251872,0.251872,0.251841,0.251748,0.251655,0.251409,0.250767,0.250071,0.249441,0.248496,0.248319,0.248818,0.248524,0.249264,0.251841,0.25181,0.251532,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251841,0.251934,0.251779,0.251779,0.251378,0.25181,0.251934
104,0.240871,0.245604,0.249115,0.248231,0.246191,0.243543,0.241913,0.2394,0.239425,0.236461,0.234678,0.233189,0.23275,0.232519,0.232839,0.235884,0.244519,0.246022,0.243126,0.248534,0.251501,0.251686,0.251439,0.251132,0.250281,0.249949,0.249439,0.247582,0.245639,0.243412,0.244129,0.246191,0.249292
96,0.198174,0.20236,0.215258,0.220227,0.216585,0.216043,0.210884,0.207931,0.207583,0.20362,0.202704,0.19724,0.194576,0.190965,0.185524,0.195167,0.219828,0.222518,0.204573,0.196818,0.215608,0.227641,0.235021,0.235858,0.23147,0.22746,0.223324,0.220961,0.212921,0.208759,0.207887,0.219929,0.228591
88,0.170035,0.169994,0.173078,0.172755,0.165311,0.161951,0.157935,0.15327,0.149832,0.145287,0.143285,0.139449,0.134261,0.125271,0.115773,0.109355,0.14947,0.14514,0.104784,0.115936,0.142206,0.15183,0.167812,0.177946,0.185396,0.181906,0.178097,0.174111,0.170444,0.165848,0.168424,0.178648,0.194803
80,0.145765,0.142824,0.137649,0.133062,0.130698,0.129547,0.128036,0.127256,0.126142,0.123767,0.119344,0.107741,0.0972194,0.085746,0.0716893,0.0617067,0.0689905,0.0622181,0.0408771,0.0364668,0.075631,0.0840719,0.0886779,0.098639,0.11706,0.133902,0.140518,0.141347,0.140068,0.138057,0.13959,0.144576,0.151736
72,0.128434,0.127279,0.126127,0.125958,0.125934,0.125928,0.125587,0.123611,0.11838,0.110367,0.0977086,0.084571,0.0664926,0.0501954,0.0354886,0.0295968,0.0295481,0.025166,0.0151622,0.0131828,0.0230089,0.0289077,0.0418101,0.0555631,0.0642329,0.0829037,0.108114,0.121938,0.126036,0.126419,0.126599,0.126715,0.130447
64,0.12593,0.125923,0.12592,0.125951,0.125859,0.124755,0.120867,0.113348,0.100687,0.08767,0.0690204,0.0483469,0.0329193,0.0228274,0.0163233,0.0127005,0.0121904,0.0090568,0.00399023,0.0037933,0.00773096,0.00620756,0.00715362,0.0164725,0.034263,0.0511402,0.0694599,0.0970699,0.116449,0.123868,0.125882,0.125967,0.125982
56,0.125949,0.125922,0.12592,0.125766,0.123461,0.118325,0.108773,0.0952545,0.0777278,0.0554345,0.0376909,0.0235801,0.0169557,0.011622,0.00674985,0.00331359,0.00268428,0.00130083,0.00019336,0.00028861,0.00111164,0.000393516,0.000349289,0.00241379,0.010735,0.0290275,0.0496797,0.0685978,0.0974241,0.1167,0.12406,0.125936,0.125967
48,0.127605,0.125771,0.125427,0.122662,0.115731,0.102934,0.0869258,0.0662174,0.0443323,0.0278107,0.0176947,0.0120754,0.00689052,0.0029227,0.000595936,0.000106217,6.34203e-05,1.18019e-05,8.34478e-07,9.53689e-07,1.0729e-05,1.19211e-06,1.66896e-06,4.75652e-05,0.000906958,0.00641248,0.022899,0.0464764,0.06761,0.0963128,0.11535,0.124207,0.125959
40,0.133184,0.125393,0.120389,0.111935,0.0989549,0.0773871,0.0546359,0.0319956,0.0201058,0.0130402,0.00757885,0.003143,0.000760448,9.27462e-05,3.33791e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.02522e-05,0.000482328,0.0048054,0.0196399,0.0425955,0.0655522,0.0916503,0.114125,0.124355
32,0.137808,0.122015,0.10928,0.0917682,0.0696688,0.046188,0.026542,0.0163264,0.00954171,0.00453861,0.00115587,0.00012851,5.72213e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.41081e-06,0.000319128,0.00387937,0.0172261,0.0393783,0.0621761,0.0900141,0.113125
24,0.139235,0.114896,0.0938255,0.0673789,0.0435094,0.0250765,0.0149353,0.00825659,0.00300901,0.000540742,4.22007e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.13251e-05,0.000425226,0.00457341,0.0178357,0.0390479,0.0633123,0.0945082
16,0.141423,0.106923,0.0730621,0.0430163,0.0227418,0.0125261,0.00575241,0.00175109,0.000165107,5.48371e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,4.53002e-06,0.000372654,0.00412995,0.0164381,0.0372434,0.0658242
8,0.146242,0.10687,0.0577799,0.0323231,0.0174432,0.00662695,0.00105251,4.41081e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-06,0.000312333,0.003766,0.0195642,0.0546137
0,0.147192,0.107518,0.0599651,0.0325465,0.0185482,0.0101657,0.00365668,0.000621209,2.56304e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.98028e-06,0.000399715,0.00555083,0.0250677,0.0658643
-8,0.146977,0.108626,0.0600428,0.033027,0.0189734,0.00992645,0.00345307,0.000481136,2.21733e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.84134e-06,0.00032795,0.00512799,0.0229041,0.0633532
-16,0.146376,0.112912,0.0774163,0.0463783,0.0256792,0.0168118,0.0109628,0.00510569,0.00110544,5.03071e-05,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.45712e-06,0.000292782,0.00469322,0.0192255,0.0498583,0.0848627
-24,0.140152,0.119928,0.100347,0.0768125,0.0561118,0.0343874,0.0208399,0.0147096,0.00993419,0.00435168,0.000899567,5.22145e-05,1.43053e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.56167e-05,0.00100507,0.00830508,0.0275776,0.0557172,0.0863827,0.111185
-32,0.134746,0.123767,0.116964,0.106446,0.0865145,0.0612799,0.0389704,0.023944,0.0165963,0.012021,0.00667082,0.00189987,0.000215057,1.13251e-05,1.66896e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.66896e-05,0.000951901,0.00820006,0.0258511,0.0545329,0.0838354,0.109404,0.124126
-40,0.129019,0.125082,0.123941,0.120639,0.111887,0.0949014,0.0736045,0.0491074,0.0310827,0.0206192,0.0155047,0.0107247,0.00558361,0.00144687,0.000231985,1.87161e-05,3.09949e-06,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,2.38422e-07,2.38422e-07,8.34478e-07,8.03483e-05,0.0014986,0.0106209,0.0311232,0.0587802,0.0880234,0.112025,0.124383,0.125959
-48,0.12643,0.125948,0.125921,0.125029,0.122545,0.116468,0.105197,0.0856462,0.0626598,0.042084,0.0278379,0.0198148,0.0153182,0.010596,0.00603447,0.00236992,0.0015557,0.000249032,1.88354e-05,1.45438e-05,0.000453241,0.00018442,4.87573e-05,0.000262622,0.00327091,0.0158981,0.0384806,0.0670912,0.0928797,0.114981,0.12449,0.125951,0.125959
-56,0.127775,0.127208,0.126221,0.126012,0.125442,0.123592,0.120786,0.112824,0.0981398,0.0775777,0.055712,0.0399247,0.0278818,0.0205019,0.0162507,0.0129132,0.0123936,0.00750207,0.0025119,0.00222996,0.00715815,0.00632451,0.00484009,0.00913008,0.023737,0.0454042,0.072302,0.0973416,0.117266,0.125352,0.125998,0.126107,0.12638
-64,0.132653,0.131946,0.129803,0.128584,0.127812,0.127256,0.125568,0.123063,0.12057,0.109968,0.094216,0.0706451,0.0521401,0.037297,0.0277377,0.023171,0.0243917,0.0184599,0.0121829,0.0112596,0.0199885,0.0234521,0.0312463,0.0446699,0.0652872,0.0876724,0.106739,0.122082,0.127227,0.127832,0.127642,0.130686,0.134461
-72,0.138745,0.13865,0.142527,0.142652,0.141415,0.139931,0.138822,0.137122,0.133662,0.131088,0.12607,0.116339,0.0987935,0.0758457,0.0608274,0.0521361,0.064031,0.0528697,0.0329742,0.0326454,0.0598434,0.0737478,0.0852521,0.10701,0.123703,0.141768,0.147485,0.146058,0.143197,0.143305,0.143314,0.149888,0.163122
-80,0.168388,0.166442,0.165374,0.162849,0.161435,0.159533,0.159149,0.157951,0.157832,0.155753,0.15399,0.151349,0.147285,0.139281,0.129854,0.119576,0.138908,0.12393,0.0957637,0.10083,0.141363,0.155029,0.166747,0.178098,0.181015,0.182102,0.180738,0.17753,0.177272,0.174268,0.175409,0.185946,0.194483
-88,0.204616,0.212508,0.221884,0.219933,0.208023,0.206415,0.20342,0.195052,0.191642,0.188404,0.185282,0.181106,0.178027,0.175571,0.174919,0.177951,0.213107,0.209296,0.189309,0.19728,0.221748,0.231709,0.231726,0.230891,0.228463,0.224104,0.220448,0.216448,0.211268,0.209468,0.21029,0.218563,0.224208
-96,0.241364,0.243139,0.247305,0.247478,0.245853,0.244492,0.2443,0.241447,0.239747,0.237465,0.23477,0.232519,0.232064,0.227982,0.228647,0.226258,0.244964,0.245766,0.244699,0.245618,0.247406,0.247559,0.247308,0.24699,0.245928,0.243792,0.241568,0.239193,0.237688,0.232568,0.234987,0.239705,0.245067
-104,0.24797,0.24797,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247736,0.247678,0.247825,0.247505,0.247651,0.247622,0.247941,0.24797,0.247939,0.247939,0.247969,0.247939,0.248,0.247939,0.247941,0.24797,0.24797,0.247879,0.247787,0.247787,0.247789,0.247878,0.247939
-112,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.24797,0.247939,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247969,0.247969,0.247939,0.248,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.24797
-120,0.24797,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.24797,0.24797,0.247969,0.247939,0.247969,0.247939,0.247939
Scan End
