SW Version,2022.1
Date and Time Started,2023-Nov-07 15:40:19
Date and Time Ended,2023-Nov-07 15:40:29
Scan Name,Scan_1J1CMD-3J1CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,8256
Horizontal Opening,137
Horizontal Percentage,54.55
Vertical Opening,73
Vertical Percentage,32.26
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247969,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.24797,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.24797,0.247969,0.247939,0.24797,0.247939
112,0.247939,0.247969,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.24797,0.247939,0.247969,0.247939,0.247969,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247969,0.247969,0.247969,0.247939,0.247969,0.247939,0.247939
104,0.247969,0.24797,0.247969,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.247969,0.247939,0.247969,0.247883,0.247912,0.247941,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.24797,0.24797,0.247969,0.247939,0.24797,0.247939,0.247939,0.247939,0.24797
96,0.245657,0.247507,0.247941,0.247939,0.247852,0.247738,0.247736,0.247447,0.247536,0.246025,0.243005,0.2426,0.244276,0.23828,0.239049,0.241338,0.247825,0.247912,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.248,0.246623,0.247878,0.24766,0.247632,0.247909,0.247754,0.247816
88,0.233776,0.241966,0.245545,0.243166,0.243945,0.241604,0.241027,0.237856,0.232121,0.23156,0.228094,0.224003,0.221517,0.221583,0.218129,0.224089,0.243782,0.245075,0.240829,0.244505,0.246744,0.246199,0.247292,0.246955,0.244948,0.246138,0.244537,0.240172,0.239537,0.232823,0.234298,0.229236,0.238644
80,0.218673,0.224811,0.217725,0.219778,0.21273,0.210394,0.203001,0.206188,0.197299,0.192211,0.191357,0.190237,0.185363,0.176189,0.173582,0.172253,0.210792,0.206373,0.204548,0.216387,0.229358,0.228361,0.230762,0.229556,0.227216,0.220516,0.220085,0.214937,0.210404,0.209076,0.21176,0.217456,0.217772
72,0.1739,0.175959,0.176895,0.171616,0.168969,0.168139,0.161664,0.158946,0.158049,0.155661,0.146317,0.137701,0.136675,0.111952,0.100453,0.0947812,0.119407,0.130201,0.0992644,0.136357,0.163234,0.165598,0.17856,0.179269,0.190843,0.181079,0.182094,0.181501,0.177701,0.163784,0.17072,0.178344,0.185988
64,0.143563,0.140994,0.139874,0.13724,0.134739,0.133562,0.131684,0.129211,0.12404,0.119254,0.109074,0.0832873,0.0756301,0.050781,0.0368028,0.0292766,0.0284039,0.0258388,0.0163255,0.0406033,0.0809558,0.088062,0.0995851,0.110941,0.132471,0.133539,0.139104,0.140646,0.13885,0.135051,0.135341,0.139549,0.148031
56,0.132275,0.13039,0.12854,0.127432,0.127028,0.126439,0.122929,0.120686,0.113572,0.0907736,0.0744193,0.0568313,0.0351523,0.0216639,0.0150366,0.00999244,0.00967751,0.00661753,0.00388235,0.00922438,0.0350697,0.0415886,0.0522142,0.0589607,0.0809461,0.0961536,0.109314,0.120315,0.125856,0.126727,0.126365,0.127367,0.12915
48,0.127051,0.126623,0.126015,0.125954,0.125519,0.121556,0.1149,0.100253,0.0776335,0.0543114,0.0332528,0.0210386,0.0145009,0.00771689,0.00319498,0.00132277,0.00106372,0.000255589,0.000166419,0.000740182,0.00445265,0.00634287,0.0101233,0.0240008,0.037767,0.056281,0.0770869,0.0977112,0.112542,0.12121,0.125535,0.125959,0.126029
