SW Version,2022.1
Date and Time Started,2023-Nov-07 17:28:34
Date and Time Ended,2023-Nov-07 17:28:43
Scan Name,Scan_3J4D2-1J4D1
Link Settings,
Reset RX After Applying Settings,false
Open Area,1280
Horizontal Opening,16
Horizontal Percentage,9.09
Vertical Opening,8
Vertical Percentage,6.45
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251934,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251872,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251841,0.251841,0.251872,0.251841,0.251841,0.251872,0.251841,0.251903,0.251903,0.251903,0.251903,0.251903,0.251934,0.251872,0.251903,0.251903,0.251872,0.251872,0.251841,0.251903,0.25181,0.25181,0.251903
104,0.251501,0.251717,0.25181,0.251779,0.251748,0.251655,0.251655,0.251501,0.251532,0.251378,0.251317,0.251286,0.25098,0.250736,0.250827,0.250796,0.251655,0.251841,0.251593,0.251779,0.251841,0.25181,0.251748,0.251717,0.251717,0.251779,0.251748,0.251686,0.251501,0.251194,0.251286,0.251378,0.251717
96,0.247076,0.247854,0.250011,0.249829,0.249382,0.248202,0.247883,0.246816,0.246505,0.246446,0.245377,0.243512,0.242115,0.241694,0.242826,0.243504,0.247927,0.250096,0.24907,0.248819,0.250762,0.251132,0.250978,0.250732,0.250581,0.250459,0.249339,0.24892,0.24697,0.24599,0.246083,0.245617,0.248083
88,0.232108,0.233468,0.24021,0.240588,0.238576,0.236003,0.234233,0.233175,0.231334,0.230591,0.227738,0.225139,0.223376,0.223145,0.221041,0.21984,0.234529,0.238878,0.232196,0.230284,0.240863,0.243865,0.245187,0.244152,0.242658,0.24153,0.24031,0.236955,0.235409,0.232598,0.231627,0.233816,0.238369
80,0.19777,0.200024,0.211609,0.209511,0.206848,0.202761,0.19876,0.194696,0.18938,0.186603,0.185385,0.18108,0.176737,0.172946,0.164959,0.16323,0.186264,0.194965,0.173165,0.165541,0.188328,0.200413,0.20273,0.207376,0.212265,0.212026,0.20813,0.201983,0.199194,0.195952,0.19863,0.205338,0.217622
72,0.168667,0.168465,0.16913,0.165239,0.160866,0.158723,0.155836,0.153123,0.149568,0.146206,0.14151,0.136093,0.12624,0.114691,0.103111,0.0927415,0.102344,0.105896,0.083264,0.0811134,0.113494,0.125104,0.131912,0.140004,0.147867,0.155325,0.160753,0.160536,0.157555,0.1568,0.154731,0.161312,0.176194
64,0.14887,0.147599,0.144965,0.142573,0.140113,0.137937,0.135578,0.132804,0.128544,0.121742,0.111181,0.0999568,0.086108,0.0719719,0.0596237,0.0496431,0.0499696,0.0485487,0.0343785,0.0334901,0.0592553,0.0711201,0.0749967,0.081847,0.0932799,0.105285,0.11885,0.128362,0.133766,0.136532,0.137211,0.139843,0.144469
56,0.13721,0.135239,0.132318,0.130471,0.12936,0.127717,0.124468,0.119567,0.111961,0.0974538,0.0866748,0.0689909,0.0545808,0.0431618,0.0317715,0.0243589,0.0221129,0.020038,0.0127524,0.0127824,0.0269202,0.0346172,0.0378349,0.042875,0.0506877,0.0637738,0.0801522,0.0975534,0.111203,0.120814,0.126835,0.12934,0.132213
48,0.134145,0.129742,0.126966,0.126077,0.123905,0.11882,0.10973,0.0972092,0.0813777,0.066176,0.0521178,0.0390374,0.0271614,0.0193064,0.0136242,0.00952034,0.00762152,0.00555512,0.00280838,0.00278429,0.00929473,0.0115639,0.0126084,0.0157274,0.0220967,0.0305688,0.042938,0.0596116,0.0798667,0.0978302,0.11118,0.121661,0.125967
40,0.138321,0.13234,0.124569,0.120178,0.111254,0.0969565,0.0839733,0.0662277,0.0487166,0.0363504,0.0252519,0.0171764,0.011396,0.00678824,0.00364261,0.00179401,0.00102462,0.000561007,0.000275378,0.000314956,0.00165215,0.0018411,0.0021334,0.00336795,0.00614819,0.0117355,0.0194085,0.0304386,0.0452875,0.0667389,0.0865943,0.103162,0.1177
