SW Version,2022.1
Date and Time Started,2024-Feb-01 17:28:46
Date and Time Ended,2024-Feb-01 17:28:57
Scan Name,Scan_1J1CMD-3J1CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,12544
Horizontal Opening,153
Horizontal Percentage,60.61
Vertical Opening,89
Vertical Percentage,38.71
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247969,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939
112,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.247939,0.247969,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939
104,0.24797,0.247969,0.247939,0.24797,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.24797,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939
96,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247969,0.24797,0.247939,0.247939,0.24797,0.247969,0.247969,0.247969,0.247909,0.247939,0.247969,0.247909,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247969,0.247969,0.247939,0.247939,0.247969,0.247939
88,0.247736,0.247939,0.247969,0.247941,0.247941,0.24791,0.24791,0.247883,0.247939,0.24791,0.247563,0.24768,0.247188,0.247456,0.246503,0.242507,0.247446,0.247787,0.243516,0.239659,0.246684,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247969,0.247939,0.247939,0.247939,0.247969
80,0.228833,0.239702,0.244767,0.241887,0.241839,0.238595,0.236366,0.23143,0.230026,0.231713,0.226126,0.225093,0.22759,0.21031,0.179001,0.179686,0.220619,0.206852,0.194676,0.172048,0.208424,0.230036,0.243662,0.247557,0.247823,0.246875,0.247507,0.247188,0.247303,0.245884,0.247133,0.246448,0.247939
72,0.173739,0.174643,0.18829,0.186533,0.205036,0.190127,0.164793,0.177743,0.16807,0.170416,0.146678,0.117824,0.0965008,0.0748518,0.074164,0.0665805,0.110205,0.101701,0.0591999,0.0391504,0.0566973,0.0760268,0.101433,0.14735,0.228216,0.22617,0.217739,0.221615,0.212182,0.217254,0.229145,0.231533,0.241703
64,0.136159,0.134021,0.132014,0.130421,0.129375,0.125333,0.123284,0.12011,0.107022,0.0906254,0.0631405,0.0363818,0.0289481,0.014817,0.00750458,0.00494011,0.0115607,0.0100099,0.00277404,0.000747692,0.00363272,0.00448305,0.00851716,0.0189337,0.0577791,0.0912135,0.134339,0.150059,0.15095,0.160389,0.158362,0.160607,0.186965
56,0.127344,0.126517,0.126595,0.125689,0.124986,0.123088,0.117254,0.0975259,0.0711201,0.0479199,0.031202,0.0159729,0.00718521,0.00241653,0.000771773,0.000284676,0.000874771,0.000335579,6.68774e-05,2.50343e-06,0.000164631,8.09443e-05,0.000224236,0.00271813,0.0162064,0.0446025,0.0808408,0.114242,0.130068,0.132189,0.131104,0.133899,0.1419
48,0.125949,0.125151,0.12424,0.123372,0.118489,0.107811,0.0849217,0.0642804,0.0405861,0.0179302,0.00832966,0.00262312,0.000340944,0.000124099,9.53689e-07,2.38422e-07,9.53689e-07,2.89683e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.2187e-06,0.000942006,0.0140709,0.0393916,0.075449,0.112083,0.12499,0.126083,0.125959,0.127159
