SW Version,2022.1
Date and Time Started,2024-Feb-01 17:31:25
Date and Time Ended,2024-Feb-01 17:31:36
Scan Name,Scan_3J3D1-1J3D2
Link Settings,
Reset RX After Applying Settings,false
Open Area,0
Horizontal Opening,0
Horizontal Percentage,0.00
Vertical Opening,0
Vertical Percentage,0.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251255,0.251041,0.251347,0.251563,0.25147,0.250825,0.250885,0.250549,0.250516,0.250762,0.250302,0.25061,0.249783,0.249458,0.248616,0.24925,0.250552,0.249372,0.247876,0.245531,0.245477,0.24974,0.249676,0.250521,0.250765,0.250888,0.251285,0.25147,0.251624,0.25107,0.251315,0.251717,0.251655
112,0.246816,0.249204,0.249949,0.247932,0.248485,0.24746,0.248434,0.2471,0.24991,0.24752,0.240598,0.242841,0.240278,0.244874,0.243017,0.24182,0.246668,0.240794,0.226777,0.229273,0.238246,0.240393,0.247038,0.24651,0.245424,0.250088,0.249123,0.248471,0.249757,0.24939,0.248755,0.251162,0.251285
104,0.23313,0.237054,0.250128,0.243428,0.238761,0.238385,0.230496,0.231659,0.237224,0.223798,0.227366,0.214589,0.217812,0.210838,0.190874,0.196825,0.2211,0.228336,0.202649,0.188464,0.197096,0.214018,0.222626,0.225537,0.238048,0.239087,0.241166,0.24839,0.244313,0.239277,0.242907,0.247942,0.247431
96,0.195736,0.215778,0.201716,0.205036,0.209442,0.198235,0.183277,0.198711,0.194171,0.184106,0.179027,0.166292,0.174255,0.158853,0.143046,0.157685,0.185803,0.179985,0.134809,0.15346,0.145427,0.136225,0.16163,0.178311,0.188783,0.207583,0.21678,0.216981,0.220577,0.230098,0.227073,0.240121,0.242951
88,0.170564,0.164587,0.172502,0.170798,0.174842,0.157579,0.158579,0.148792,0.152296,0.152395,0.126602,0.166387,0.11446,0.0973204,0.0935453,0.0957058,0.111535,0.114822,0.0775931,0.0643604,0.0794989,0.0710307,0.147002,0.0971864,0.130024,0.155044,0.162996,0.186557,0.188519,0.179568,0.181516,0.20381,0.170658
80,0.143569,0.143455,0.146831,0.14487,0.141974,0.131535,0.12534,0.114933,0.113468,0.0913331,0.08333,0.0708361,0.0649318,0.054612,0.0476191,0.0465175,0.0600858,0.0529684,0.0398837,0.0268317,0.0334427,0.0372789,0.0388438,0.0459624,0.0588087,0.0713991,0.144536,0.136661,0.15069,0.153136,0.16124,0.157078,0.172902
72,0.133808,0.132835,0.132694,0.127336,0.11707,0.102488,0.0905606,0.0894401,0.0696347,0.0568212,0.0539126,0.0429913,0.0343568,0.0296252,0.0258552,0.0204118,0.0279179,0.0255004,0.0163711,0.0127881,0.0132712,0.0149043,0.0153597,0.0187403,0.0276294,0.0430383,0.074936,0.09741,0.136054,0.126721,0.136124,0.142691,0.145805
64,0.127783,0.125869,0.121474,0.110605,0.101417,0.0914396,0.0706589,0.0652518,0.049357,0.0374601,0.0336161,0.0226624,0.0177006,0.0146531,0.0113553,0.0123827,0.0115786,0.00992289,0.00615499,0.0044585,0.00541373,0.00538703,0.00515767,0.00728273,0.0106384,0.020292,0.0409089,0.07466,0.103885,0.119691,0.128231,0.130281,0.134161
56,0.128215,0.124243,0.118418,0.0900761,0.0927182,0.0698366,0.0650484,0.0426658,0.0316197,0.0265071,0.0172214,0.014244,0.00991446,0.00914185,0.00609574,0.00454969,0.00552913,0.00467296,0.00310533,0.00222281,0.00242511,0.00264732,0.00293641,0.00335222,0.00452716,0.00898888,0.022213,0.0412406,0.0847321,0.109439,0.123488,0.126414,0.129267
48,0.126753,0.119422,0.106237,0.106567,0.0704155,0.0517855,0.0379067,0.0307046,0.0192044,0.0133976,0.00921104,0.00664936,0.00542494,0.00370162,0.00323765,0.00197092,0.00248388,0.00182619,0.00149884,0.00113119,0.00111057,0.00127639,0.00133135,0.00171628,0.00216332,0.00423557,0.00995204,0.0249593,0.0440818,0.0854586,0.111921,0.125125,0.129376
