SW Version,2022.1
Date and Time Started,2023-Jul-17 17:23:27
Date and Time Ended,2023-Jul-17 17:23:42
Scan Name,Scan_0J3CMD-3J3CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,7744
Horizontal Opening,121
Horizontal Percentage,48.48
Vertical Opening,65
Vertical Percentage,29.03
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247678,0.247939,0.247941,0.247565,0.247939,0.247939,0.247939,0.247418,0.247939,0.247883,0.247102,0.2474,0.246836,0.245285,0.247446,0.246114,0.247294,0.247785,0.24569,0.244751,0.247634,0.247475,0.247601,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939
112,0.244441,0.244822,0.247102,0.245884,0.246025,0.246645,0.244574,0.246053,0.245269,0.243892,0.240609,0.240089,0.238704,0.236025,0.233046,0.236159,0.243606,0.242833,0.236434,0.234941,0.240062,0.24237,0.24586,0.246347,0.247565,0.247342,0.247705,0.246886,0.247609,0.247308,0.247823,0.247678,0.247796
104,0.235986,0.2295,0.235367,0.239803,0.234058,0.231464,0.234516,0.230638,0.232227,0.227929,0.219948,0.219785,0.213865,0.204306,0.201478,0.197624,0.219182,0.22564,0.206639,0.188663,0.203907,0.214907,0.228318,0.237849,0.238861,0.24241,0.242511,0.240083,0.242431,0.240671,0.243844,0.245977,0.246158
96,0.19783,0.196268,0.212305,0.206372,0.199289,0.197224,0.194559,0.19342,0.195117,0.179412,0.168692,0.164815,0.149565,0.134096,0.129814,0.12349,0.163246,0.158377,0.131966,0.112911,0.132973,0.136127,0.165956,0.180055,0.19855,0.215323,0.22093,0.219889,0.226254,0.222003,0.217295,0.225838,0.235867
88,0.16775,0.166904,0.169337,0.167479,0.164819,0.162817,0.156247,0.154526,0.143456,0.134232,0.116684,0.103847,0.0924352,0.0798314,0.0695477,0.0648418,0.0925749,0.0962397,0.0664964,0.0505222,0.0591863,0.0676298,0.0831066,0.0994766,0.132939,0.157891,0.183632,0.18116,0.183763,0.183809,0.188051,0.192066,0.212787
80,0.143311,0.144048,0.1435,0.140716,0.140717,0.134877,0.126961,0.118247,0.102837,0.0919832,0.0768761,0.0596444,0.0453113,0.0354987,0.0288206,0.023913,0.0342254,0.037273,0.0228821,0.0163376,0.0197351,0.0217525,0.0253368,0.0357152,0.0572251,0.0887526,0.119467,0.141361,0.146802,0.150577,0.153472,0.15848,0.175774
72,0.131944,0.131596,0.13079,0.13024,0.125212,0.119821,0.107763,0.0953694,0.0812042,0.0612172,0.0455238,0.0311765,0.022748,0.0154368,0.0113034,0.00927699,0.0120737,0.0129461,0.00814903,0.00549969,0.00633309,0.00738799,0.00875391,0.0125227,0.0219825,0.040155,0.0738698,0.106667,0.127414,0.133803,0.134875,0.136411,0.144861
64,0.127651,0.127234,0.126425,0.120019,0.11553,0.106698,0.0873252,0.0711788,0.0514336,0.0370061,0.023035,0.0152087,0.00936162,0.00592432,0.00409848,0.00299136,0.00387758,0.00375527,0.00213424,0.00110854,0.00149968,0.00181868,0.00215331,0.00326042,0.00696992,0.0157245,0.0405641,0.0722009,0.102767,0.121146,0.126889,0.128761,0.131662
56,0.12691,0.124383,0.122551,0.116303,0.100745,0.088174,0.0698651,0.0511469,0.0353153,0.0209662,0.0125453,0.00707709,0.00396091,0.00230852,0.00131454,0.000786078,0.000920906,0.00112058,0.000447638,0.000267152,0.000269536,0.000214818,0.000321155,0.000643859,0.00168696,0.00627098,0.0193324,0.0461401,0.08042,0.108856,0.120887,0.125634,0.127995
48,0.126957,0.121955,0.115776,0.102438,0.0875974,0.0703132,0.0481695,0.0321483,0.0182856,0.0104656,0.00557217,0.00265602,0.00132122,0.000487931,0.000228885,0.000125529,7.9633e-05,0.000121715,2.33654e-05,3.57633e-07,1.13251e-05,3.15909e-05,6.07977e-06,1.9789e-05,0.000266556,0.00159278,0.00762009,0.0231088,0.0529747,0.0870892,0.110348,0.120698,0.126239
