SW Version,2022.1
Date and Time Started,2023-Jul-17 17:23:58
Date and Time Ended,2023-Jul-17 17:24:12
Scan Name,Scan_3J3D2-0J3D1
Link Settings,
Reset RX After Applying Settings,false
Open Area,1600
Horizontal Opening,57
Horizontal Percentage,24.24
Vertical Opening,9
Vertical Percentage,6.45
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251779,0.251903,0.251872,0.251903,0.251903,0.251872,0.251903,0.251841,0.25181,0.251717,0.251903,0.25181,0.251872,0.251655,0.251779,0.251779,0.251903,0.251903,0.251563,0.251377,0.251655,0.251872,0.251872,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.249441,0.250282,0.251316,0.251132,0.250675,0.251255,0.25147,0.251102,0.250493,0.250398,0.248876,0.25006,0.249906,0.250671,0.247407,0.248311,0.250917,0.250278,0.246362,0.244765,0.247907,0.250826,0.248867,0.251593,0.251655,0.251717,0.251717,0.251439,0.251593,0.251593,0.25147,0.251841,0.251903
104,0.23823,0.246647,0.246078,0.243135,0.241887,0.243813,0.244461,0.244149,0.242854,0.241841,0.237215,0.239678,0.237486,0.235643,0.23204,0.237433,0.245749,0.237248,0.230795,0.229753,0.233947,0.24085,0.243544,0.242969,0.246655,0.248239,0.248329,0.248329,0.248873,0.246506,0.246763,0.249935,0.251531
96,0.222214,0.22838,0.23283,0.23104,0.226636,0.230589,0.227304,0.229346,0.219359,0.211026,0.218052,0.214658,0.213165,0.208014,0.205671,0.210075,0.225268,0.215227,0.203369,0.198163,0.193153,0.208896,0.216041,0.227073,0.229647,0.232301,0.234677,0.23764,0.234301,0.232511,0.235406,0.241806,0.246899
88,0.192682,0.206032,0.214056,0.207414,0.207258,0.209363,0.207568,0.200707,0.200556,0.199283,0.187814,0.185438,0.176324,0.181355,0.173854,0.166659,0.194795,0.185441,0.170678,0.148619,0.16883,0.181062,0.190519,0.199152,0.211471,0.219074,0.216801,0.216777,0.216928,0.21369,0.221759,0.226645,0.236979
80,0.167805,0.172876,0.178072,0.180579,0.169198,0.16681,0.163764,0.163704,0.153529,0.146287,0.140377,0.129052,0.124306,0.113739,0.112715,0.10761,0.136647,0.131505,0.09956,0.0897423,0.0976242,0.111944,0.11877,0.142565,0.157339,0.165893,0.179941,0.18713,0.189124,0.191084,0.197128,0.197659,0.20989
72,0.148943,0.155541,0.153822,0.146834,0.14099,0.137087,0.128145,0.124315,0.117932,0.107336,0.101089,0.0879912,0.0738019,0.0748,0.0633305,0.0610879,0.0789855,0.0747283,0.0570562,0.0479917,0.0542135,0.0569703,0.0665907,0.0781147,0.101413,0.118791,0.136124,0.15802,0.160168,0.163616,0.171144,0.174732,0.183375
64,0.14004,0.137646,0.135804,0.131692,0.122641,0.115148,0.105233,0.102996,0.0897381,0.0796729,0.069381,0.0626539,0.0510149,0.0469102,0.0387986,0.0380389,0.0467837,0.0437172,0.0330172,0.030075,0.0330915,0.0371856,0.0402533,0.0467878,0.0593006,0.0815131,0.105638,0.122875,0.136237,0.14105,0.150411,0.156246,0.16158
56,0.132914,0.127132,0.12233,0.115825,0.1096,0.101132,0.0877556,0.0758742,0.065768,0.0561683,0.0461754,0.0396085,0.033075,0.0276064,0.023657,0.0227369,0.0281374,0.0267192,0.0200366,0.0160923,0.0183061,0.0198471,0.022911,0.0292389,0.0389718,0.0576889,0.0784745,0.0999894,0.122954,0.12497,0.136464,0.143158,0.146489
48,0.129889,0.124481,0.108744,0.102291,0.0954799,0.0805771,0.0702816,0.0576614,0.048438,0.0373264,0.0312243,0.0245585,0.020693,0.0175623,0.0145236,0.0126714,0.014703,0.0140024,0.00992298,0.00674067,0.00786233,0.00900974,0.0107982,0.0138045,0.0224467,0.0333515,0.0512909,0.0749434,0.0999245,0.113271,0.125468,0.133652,0.141747
