SW Version,2022.1
Date and Time Started,2024-Feb-02 11:07:07
Date and Time Ended,2024-Feb-02 11:07:19
Scan Name,Scan_2J4D0-0J3D3
Link Settings,
Reset RX After Applying Settings,false
Open Area,17664
Horizontal Opening,177
Horizontal Percentage,69.70
Vertical Opening,113
Vertical Percentage,48.39
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251841,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251717,0.251686,0.25098,0.250827,0.250675,0.251748,0.251903,0.247707,0.240332,0.245576,0.24953,0.251317,0.251779,0.251934,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
96,0.251717,0.251872,0.251903,0.251872,0.251903,0.251872,0.251779,0.251903,0.251532,0.251223,0.249667,0.246529,0.241283,0.232899,0.224109,0.219247,0.23732,0.238744,0.210174,0.195143,0.204027,0.213831,0.228514,0.243005,0.250311,0.25181,0.251779,0.251903,0.251872,0.251903,0.251934,0.251872,0.251903
88,0.238224,0.245994,0.250645,0.249471,0.24768,0.248029,0.24416,0.243568,0.238441,0.231456,0.217561,0.203206,0.191333,0.183473,0.176143,0.172124,0.194812,0.195877,0.167387,0.139707,0.151107,0.160397,0.168803,0.193189,0.22141,0.238993,0.246304,0.248262,0.249025,0.249025,0.249561,0.25147,0.251903
80,0.181034,0.191992,0.212951,0.213025,0.206957,0.204665,0.195673,0.18563,0.170097,0.150354,0.140542,0.116739,0.0993758,0.0903078,0.0737195,0.0702409,0.115102,0.123855,0.0748295,0.0488434,0.0581712,0.0634872,0.0736399,0.0946915,0.119577,0.164019,0.197336,0.207896,0.213503,0.213231,0.216754,0.23312,0.246718
72,0.146438,0.144821,0.142027,0.13957,0.136317,0.130455,0.116411,0.0998799,0.0764511,0.0561317,0.0370198,0.0187471,0.00811601,0.00322275,0.00181868,0.00206807,0.0174713,0.032602,0.00831076,0.00202802,0.00311296,0.00442416,0.00403184,0.00529905,0.0101385,0.034162,0.081457,0.122912,0.133004,0.1338,0.135342,0.151141,0.197529
64,0.128027,0.127482,0.126275,0.124981,0.118361,0.103805,0.0861948,0.0607507,0.0373819,0.0179498,0.00560125,0.00114109,0.000120999,1.15635e-05,2.74186e-06,4.64923e-06,7.42685e-05,0.000302081,3.75515e-05,4.05318e-06,7.5103e-06,1.96698e-05,3.20678e-05,2.81338e-05,0.00017083,0.00371211,0.0299452,0.0818237,0.119413,0.125835,0.126029,0.126301,0.129655
56,0.125954,0.125918,0.125061,0.118216,0.104233,0.0848375,0.0582075,0.0327299,0.0131234,0.0032708,0.00040353,1.84777e-05,9.53689e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.43053e-06,0.00033856,0.00785017,0.0442072,0.0998704,0.123829,0.125936,0.125959,0.125975
48,0.12592,0.124998,0.120412,0.105479,0.0840849,0.0552789,0.0284063,0.0105181,0.00192276,0.000135305,5.24529e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.64923e-06,0.00101735,0.0163355,0.0609897,0.111437,0.125291,0.125975,0.125959
40,0.125615,0.121932,0.107652,0.082981,0.053894,0.0263711,0.00817551,0.00129404,6.73543e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.08894e-05,0.00340312,0.0272441,0.0826315,0.118217,0.125712,0.125967
32,0.124214,0.113225,0.0880621,0.0566552,0.0272468,0.00839632,0.00111045,4.25584e-05,7.15267e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.19211e-06,0.000398165,0.0102286,0.0452625,0.100905,0.122923,0.1262
24,0.121931,0.0998568,0.0681204,0.0350705,0.0114643,0.00169792,8.07059e-05,8.34478e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.95781e-05,0.0032733,0.0236741,0.0757995,0.114907,0.12695
16,0.117829,0.0824017,0.0435314,0.014286,0.00236563,0.000115992,9.53689e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.19211e-06,0.000485189,0.00898063,0.0426287,0.0960356,0.129538
8,0.117223,0.0656945,0.0216865,0.00365084,0.000199798,2.38422e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.63731e-05,0.00269441,0.0204712,0.0701101,0.13315
0,0.117328,0.0524155,0.00773203,0.000367409,2.1458e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.02659e-06,0.000431187,0.00885572,0.0497365,0.135895
-8,0.116021,0.0503821,0.00972183,0.00100519,2.47959e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.39109e-06,0.000773442,0.00997842,0.0552885,0.138841
-16,0.115966,0.06234,0.0231166,0.00538274,0.000467665,1.06098e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000106217,0.00332241,0.024322,0.0780863,0.135343
-24,0.117816,0.0820629,0.044126,0.0161147,0.00378638,0.000286345,7.74872e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.50343e-06,0.000781667,0.0109409,0.0495632,0.105855,0.129407
-32,0.121243,0.100863,0.0642159,0.0320537,0.011449,0.00246922,0.000157239,3.93397e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.68774e-05,0.00316732,0.0248517,0.0816507,0.119517,0.1266
-40,0.123866,0.114233,0.0903304,0.0568881,0.0274867,0.0103997,0.00197783,0.000178697,3.45712e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.62264e-06,0.000614176,0.0117797,0.054858,0.111316,0.125373,0.125982
-48,0.125336,0.121787,0.111158,0.0830349,0.0528919,0.0268735,0.0107153,0.00258044,0.000230912,3.33791e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.20035e-05,0.00477822,0.0343067,0.0990154,0.123666,0.125951,0.125967
-56,0.125951,0.125396,0.120696,0.107,0.0807305,0.0529904,0.0272265,0.0114667,0.00310473,0.000368243,9.17926e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.4374e-06,0.00111844,0.0188565,0.0756908,0.118907,0.125804,0.125959,0.125967
-64,0.125993,0.125966,0.124453,0.11871,0.102624,0.075705,0.0490934,0.0272889,0.0115177,0.00318508,0.000354772,4.38697e-05,2.26501e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.76844e-07,0.000178697,0.00743019,0.0482158,0.108181,0.12535,0.125959,0.125959,0.12599
-72,0.129419,0.128365,0.126629,0.12471,0.118685,0.102384,0.0798723,0.0530495,0.033132,0.0173753,0.00575086,0.00139656,0.000269656,5.56716e-05,2.8253e-05,3.08757e-05,0.000622044,0.000763428,8.36862e-05,1.60935e-05,2.3723e-05,6.40164e-05,8.04675e-05,7.00961e-05,0.000188354,0.00474901,0.0353385,0.0941998,0.123067,0.12599,0.126099,0.127453,0.140447
-80,0.151479,0.148689,0.150452,0.149386,0.142833,0.134227,0.119931,0.0948041,0.071916,0.0533931,0.0377808,0.0234367,0.0133863,0.00804437,0.00631914,0.00687014,0.0296456,0.0328872,0.0105592,0.0028414,0.00586781,0.010486,0.0116765,0.0133354,0.0192,0.0489829,0.103266,0.133224,0.139671,0.141222,0.147901,0.167953,0.203528
-88,0.204303,0.207189,0.221997,0.221925,0.216853,0.210797,0.20469,0.190737,0.171223,0.146724,0.129864,0.118841,0.108908,0.0932462,0.0855229,0.0861787,0.122988,0.122628,0.0791077,0.0538005,0.0663746,0.0835293,0.0966825,0.111801,0.136559,0.169387,0.193457,0.203344,0.208367,0.211308,0.219268,0.229867,0.243575
-96,0.242787,0.244767,0.247507,0.247217,0.246961,0.245408,0.244874,0.242393,0.238122,0.227653,0.210768,0.190559,0.179665,0.171645,0.168815,0.166982,0.181141,0.178897,0.153614,0.131171,0.142556,0.147348,0.160214,0.178036,0.210601,0.232744,0.242885,0.24343,0.244593,0.245183,0.246834,0.247631,0.247907
