SW Version,2022.1
Date and Time Started,2024-Feb-02 11:52:10
Date and Time Ended,2024-Feb-02 11:52:22
Scan Name,Scan_1J1CMD-3J6CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,19968
Horizontal Opening,177
Horizontal Percentage,69.70
Vertical Opening,145
Vertical Percentage,61.29
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247941,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247493,0.246333,0.244951,0.233589,0.22237,0.209323,0.198958,0.212605,0.211403,0.198555,0.184283,0.20561,0.209584,0.239773,0.24711,0.24754,0.247941,0.24791,0.247939,0.24791,0.247939,0.247969,0.247939,0.247939
112,0.244276,0.246875,0.247592,0.246559,0.247736,0.243219,0.246474,0.242248,0.239666,0.234446,0.234027,0.214756,0.200008,0.176195,0.16214,0.16045,0.17804,0.17666,0.16002,0.13974,0.154009,0.169448,0.223677,0.22401,0.242176,0.244476,0.242943,0.246259,0.244711,0.241498,0.243893,0.246628,0.247939
104,0.222444,0.230132,0.231748,0.23213,0.232661,0.221048,0.218183,0.209106,0.199711,0.191317,0.167903,0.157942,0.131024,0.121916,0.0953831,0.0900772,0.124255,0.121522,0.0856006,0.0767813,0.0899817,0.100321,0.120399,0.154159,0.190868,0.216957,0.219969,0.2181,0.22231,0.230019,0.23194,0.235519,0.239466
96,0.177496,0.170919,0.176388,0.177269,0.172334,0.172981,0.156735,0.146044,0.129538,0.106591,0.0804505,0.0639315,0.0462506,0.0323214,0.0295659,0.0256673,0.0478989,0.0535039,0.0267349,0.0203697,0.0247406,0.0351541,0.0318284,0.0500263,0.10657,0.1495,0.153712,0.168019,0.172074,0.170669,0.173878,0.191642,0.20918
88,0.142915,0.141346,0.142419,0.139597,0.132535,0.125096,0.113354,0.0944684,0.0714919,0.0520337,0.0315882,0.0196485,0.0088035,0.00331991,0.001148,0.000847114,0.00550028,0.00698279,0.00178817,0.000995532,0.00150111,0.00230459,0.00264696,0.00251035,0.0126503,0.0572082,0.114797,0.127805,0.130949,0.131374,0.134621,0.1362,0.157159
80,0.128778,0.127549,0.124961,0.124291,0.115192,0.100553,0.0810149,0.0600253,0.0463482,0.0274425,0.0133883,0.00482912,0.00128665,0.000177982,5.35258e-05,2.38422e-06,4.64923e-06,5.22145e-05,4.05318e-06,2.38422e-07,1.66896e-06,1.19211e-06,1.74048e-05,5.60292e-06,0.000550278,0.0120335,0.0651216,0.118462,0.125751,0.125975,0.126029,0.126396,0.128159
72,0.125897,0.125209,0.121326,0.113373,0.0946431,0.0805527,0.0586341,0.0366679,0.021958,0.0129541,0.00421256,0.000798714,0.000162008,2.1458e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.3645e-06,0.00164023,0.0233123,0.0875795,0.122167,0.125959,0.125967,0.125967,0.126006
64,0.125212,0.123194,0.113348,0.0980453,0.0768297,0.0564491,0.0359925,0.0221346,0.0113114,0.00412256,0.000672351,9.29847e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.52359e-05,0.00602302,0.0404673,0.105578,0.124321,0.125959,0.125967,0.125967
56,0.123939,0.118572,0.105784,0.0855317,0.0592448,0.0405251,0.0222394,0.011349,0.00434465,0.000947728,2.7657e-05,2.26501e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,9.53689e-07,0.00111701,0.0167158,0.0744942,0.116718,0.125285,0.125967,0.125975
48,0.12176,0.110558,0.0873857,0.062752,0.0398904,0.0221384,0.0118873,0.00406713,0.000933065,7.60567e-05,7.15267e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000100853,0.00463576,0.0333534,0.0939752,0.121773,0.125758,0.126656
